T U Err_U M Err_M Cv Err_Cv X Err_X
0.5 -50.1503 0.0247456 43.7108 0.488553 13.2695 0.291483 4507.03 15.4087 
0.51 -50.0177 0.0275076 42.7799 0.553643 14.5503 0.283555 4347.02 16.2348 
0.52 -49.8583 0.0239001 42.1696 0.388759 16.0936 0.263073 4162.93 17.0098 
0.53 -49.6775 0.0300974 40.954 0.420403 17.5929 0.330925 3983.23 19.8052 
0.54 -49.4933 0.0279339 40.0208 0.390597 18.923 0.271437 3802.96 18.2293 
0.55 -49.2966 0.0259834 38.9201 0.37941 20.1597 0.221327 3626.48 17.4098 
0.56 -49.0919 0.0291428 37.5669 0.43966 21.2529 0.223907 3459.06 18.8269 
0.57 -48.8903 0.0277959 36.4972 0.411037 22.1921 0.218437 3302.92 15.9523 
0.58 -48.6793 0.0260497 35.5697 0.429515 22.9886 0.191229 3141.44 15.6358 
0.59 -48.4665 0.0283758 34.9873 0.424631 23.6164 0.191913 2984.74 17.8659 
0.6 -48.2309 0.0273586 33.8733 0.412276 24.3122 0.183401 2836.28 16.0608 
0.61 -47.9857 0.0265283 32.7416 0.341379 24.9221 0.185537 2685.29 13.6482 
0.62 -47.7419 0.0285072 31.4848 0.340174 25.4362 0.194105 2548.19 14.2551 
0.63 -47.5025 0.0269074 30.5679 0.289161 25.8416 0.13413 2415.34 13.7844 
0.64 -47.2518 0.0257861 29.3415 0.251304 26.0991 0.147459 2288.67 12.5496 
0.65 -46.9639 0.0214312 28.0006 0.212738 26.3229 0.148636 2141.2 9.70912 
0.66 -46.6913 0.0233301 26.6162 0.261557 26.4976 0.137057 2017.93 11.2995 
0.67 -46.4441 0.0210602 25.5308 0.236289 26.4495 0.145806 1911.76 10.3192 
0.68 -46.1741 0.0188316 24.338 0.18469 26.3976 0.138532 1801.73 10.1932 
0.69 -45.9068 0.0210039 23.3 0.237012 26.2541 0.138923 1699.87 11.4871 
0.7 -45.6426 0.0194143 22.373 0.211025 26.2256 0.139683 1601.24 10.5659 
0.71 -45.373 0.0180451 21.1883 0.171071 26.1758 0.135411 1508.03 10.5732 
0.72 -45.1006 0.0233549 20.3369 0.261804 25.9967 0.12575 1420.28 11.1356 
0.73 -44.8605 0.0183493 19.7981 0.246193 25.8789 0.140187 1349.53 8.4009 
0.74 -44.6141 0.0136099 19.0959 0.202456 25.8819 0.103518 1286.94 5.35592 
0.75 -44.3342 0.0138131 17.903 0.178627 25.7492 0.133529 1212.23 7.35917 
0.76 -44.0947 0.0186121 17.2478 0.230525 25.4171 0.114249 1148.64 8.53042 
0.77 -43.8473 0.0189287 16.5004 0.196185 25.5123 0.119721 1091.91 8.74753 
0.78 -43.5926 0.0201152 15.7084 0.220123 25.394 0.105226 1036.82 8.179 
0.79 -43.3455 0.022514 15.2642 0.217923 25.2326 0.112944 985.561 8.25521 
0.8 -43.0971 0.0172447 14.8068 0.172582 25.0703 0.110983 936.791 6.28712 
0.81 -42.8366 0.0160749 14.2199 0.192643 24.9469 0.104203 892.312 7.70624 
0.82 -42.5768 0.0147497 13.4282 0.178192 24.7632 0.09051 848.723 5.89695 
0.83 -42.3186 0.0145633 12.8562 0.202671 24.6185 0.0801641 806.47 5.77182 
0.84 -42.0695 0.0173426 12.2866 0.199507 24.3183 0.101206 765.005 6.02784 
0.85 -41.8181 0.0160423 11.8392 0.181095 24.1443 0.0830919 725.929 5.01094 
0.86 -41.5728 0.0147693 11.3654 0.206539 24.0532 0.0645852 696.636 5.06409 
0.87 -41.3475 0.0122923 11.1067 0.171673 23.9014 0.0579866 670.063 3.56481 
0.88 -41.103 0.012884 10.7192 0.13904 23.7164 0.0501333 640.104 2.58155 
0.89 -40.8681 0.0105501 10.4005 0.173366 23.6229 0.0639266 618.271 2.48988 
0.9 -40.6251 0.0109826 9.89961 0.145922 23.4548 0.0465376 590.303 2.13269 
0.91 -40.395 0.0112054 9.49141 0.0887385 23.318 0.0713834 566.143 2.30978 
0.92 -40.1731 0.0107517 9.31531 0.122127 23.1056 0.0570927 544.905 2.33 
0.93 -39.9475 0.011019 9.11634 0.124515 23.0329 0.0425784 526.465 2.41063 
0.94 -39.717 0.0114173 8.88449 0.144999 22.9148 0.0515954 507.949 2.69923 
0.95 -39.4885 0.00969236 8.57074 0.118774 22.7411 0.0471876 488.733 1.80545 
0.96 -39.2657 0.0118562 8.2818 0.0869857 22.5836 0.049923 473.357 2.51979 
0.97 -39.0386 0.00758156 8.01408 0.067621 22.4942 0.052854 455.476 1.45158 
0.98 -38.817 0.0108591 7.76922 0.100025 22.3961 0.0719917 440.611 2.1218 
0.99 -38.6079 0.00873715 7.63028 0.108389 22.1862 0.0631484 428.634 2.19117 
1 -38.3732 0.00915627 7.33235 0.117156 21.9896 0.0567396 411.878 2.0321 
1.01 -38.1577 0.00830626 7.07007 0.106601 21.7929 0.0583357 396.871 1.81176 
1.02 -37.9424 0.0103971 6.90952 0.110253 21.6732 0.0506265 384.961 1.93086 
1.03 -37.7115 0.0100616 6.61742 0.11021 21.472 0.0500891 371.528 1.53377 
1.04 -37.4987 0.00922003 6.53393 0.0671322 21.3799 0.0609304 359.711 1.83519 
1.05 -37.2812 0.0075631 6.31359 0.0831395 21.1949 0.0466267 348.54 1.59244 
1.06 -37.071 0.00769781 6.18863 0.0666802 21.028 0.0451633 339.6 1.5949 
1.07 -36.8565 0.010092 5.97159 0.0571191 20.8784 0.0471559 328.236 1.29776 
1.08 -36.6613 0.00970952 5.94233 0.0860319 20.8092 0.045005 321.745 1.16488 
1.09 -36.4491 0.00913057 5.81494 0.0748064 20.6478 0.034942 312.994 1.31057 
1.1 -36.2506 0.0105398 5.63552 0.0886235 20.5048 0.0459019 304.265 1.53926 
1.11 -36.0378 0.0109227 5.501 0.0681495 20.3412 0.0461132 294.698 1.38407 
1.12 -35.8305 0.00823563 5.29806 0.0622125 20.1862 0.048307 285.997 1.24873 
1.13 -35.6328 0.00871445 5.18118 0.0553192 20.0356 0.0375414 279.217 0.984077 
1.14 -35.4321 0.00836315 5.17108 0.0570384 19.8756 0.036403 272.366 0.862405 
1.15 -35.2369 0.00953421 4.90451 0.0452726 19.6537 0.0464182 264.648 0.868458 
1.16 -35.0334 0.00920458 4.78078 0.0571031 19.4765 0.0390803 257.43 0.759537 
1.17 -34.842 0.0114006 4.7349 0.0499551 19.3623 0.0476825 251.707 0.901983 
1.18 -34.6559 0.0126754 4.6099 0.0547688 19.162 0.041004 245.956 0.816457 
1.19 -34.4623 0.0132975 4.45729 0.0593838 19.0517 0.0423442 238.856 1.16425 
1.2 -34.2638 0.0131202 4.34941 0.0649436 18.8973 0.0528077 233.491 1.17783 
1.21 -34.0788 0.012632 4.24852 0.0688586 18.7727 0.0444156 228.446 0.889648 
1.22 -33.8936 0.0108021 4.20766 0.0646396 18.6425 0.0410373 223.173 0.832521 
1.23 -33.7185 0.0103066 4.11041 0.059836 18.4906 0.0354333 217.425 0.751713 
1.24 -33.5266 0.00968372 4.01708 0.0722636 18.397 0.0300101 212.24 1.00756 
1.25 -33.3478 0.010532 3.94793 0.0667223 18.2258 0.0263411 208.11 0.865403 
1.26 -33.1568 0.00915017 3.86341 0.0660857 18.0746 0.0375992 203.509 0.952802 
1.27 -32.9772 0.00892817 3.7605 0.050576 17.9145 0.0348231 199.028 0.653785 
1.28 -32.7957 0.00745823 3.68151 0.0595373 17.809 0.0407169 195.562 0.64317 
1.29 -32.629 0.00904372 3.65285 0.0601385 17.6766 0.0336631 191.431 0.766546 
1.3 -32.4449 0.0108731 3.48468 0.064411 17.5336 0.0309222 187.644 0.933604 
1.31 -32.2684 0.00813447 3.42645 0.054759 17.3523 0.0331989 182.262 0.797349 
1.32 -32.1 0.00893957 3.37849 0.0548658 17.2528 0.0317564 179.574 0.665205 
1.33 -31.9254 0.00927695 3.35058 0.0671334 17.0859 0.028769 176.666 0.575773 
1.34 -31.7579 0.00808354 3.25354 0.0534496 16.9737 0.0231666 173.362 0.475731 
1.35 -31.5887 0.0092854 3.20468 0.0495383 16.8467 0.0255392 170.359 0.557005 
1.36 -31.4176 0.00984525 3.15113 0.0555331 16.7296 0.0282279 167.246 0.619612 
1.37 -31.2583 0.0103021 3.00888 0.0520899 16.5719 0.0310649 163.462 0.502307 
1.38 -31.1031 0.00997127 3.00905 0.0510683 16.3932 0.0239033 160.549 0.435376 
1.39 -30.9442 0.0112585 2.9961 0.0467697 16.2732 0.0269238 157.137 0.535127 
1.4 -30.7757 0.0110777 2.92298 0.0450872 16.1182 0.0250535 155.064 0.371366 
1.41 -30.6157 0.0109424 2.88068 0.0431172 15.9665 0.0278492 151.745 0.457024 
1.42 -30.4538 0.0104829 2.83846 0.0412967 15.8434 0.0301269 149.006 0.401623 
1.43 -30.2964 0.00989938 2.75237 0.0370711 15.755 0.0266423 146.386 0.419399 
1.44 -30.1419 0.0106863 2.79187 0.0355686 15.6261 0.0293665 143.958 0.35033 
1.45 -29.9807 0.00888753 2.74325 0.0389978 15.4888 0.0323011 141.137 0.379584 
1.46 -29.8319 0.00896324 2.71624 0.032785 15.3561 0.0266589 139.375 0.439986 
1.47 -29.6767 0.00914117 2.63367 0.0319407 15.2285 0.0272609 136.628 0.406044 
1.48 -29.5222 0.00831566 2.58085 0.029528 15.0904 0.0264104 134.751 0.393967 
1.49 -29.3804 0.00885352 2.55344 0.0315675 14.9593 0.0297685 132.656 0.423786 
1.5 -29.2283 0.0100099 2.5279 0.0352454 14.8203 0.024508 130.357 0.410177 
1.51 -29.084 0.00845757 2.50686 0.0363995 14.7042 0.02577 127.91 0.382737 
1.52 -28.9329 0.00786124 2.49661 0.0424699 14.5782 0.0229056 126.234 0.371718 
1.53 -28.788 0.00787887 2.4377 0.0332822 14.4626 0.0234671 124.135 0.391407 
1.54 -28.636 0.00789633 2.41752 0.0449501 14.3437 0.0246881 122.291 0.388786 
