#BLOCK ACTUAL AVE ERROR
1 1.30488 1.30488 0
2 1.47716 1.39102 0.0609102
3 1.3216 1.36788 0.0447871
4 1.53084 1.40862 0.0487147
5 1.27028 1.38095 0.046165
6 1.43736 1.39035 0.0394165
7 1.29684 1.37699 0.0359783
8 1.42628 1.38315 0.0320041
9 1.16296 1.35869 0.0366248
10 1.34504 1.35732 0.0329877
11 1.4872 1.36913 0.0320322
12 1.13124 1.34931 0.0349632
13 1.44804 1.3569 0.0330884
14 1.23276 1.34803 0.0318909
15 1.34332 1.34772 0.0297664
16 1.39204 1.35049 0.0280346
17 1.19808 1.34152 0.0277821
18 1.35208 1.34211 0.0262448
19 1.30124 1.33996 0.0249515
20 1.44844 1.34538 0.0242863
