#BLOCK ACTUAL AVE ERROR
1 9.91115 9.91115 0
2 9.84159 9.87637 0.0245944
3 9.92951 9.89409 0.021864
4 9.90788 9.89754 0.0166679
5 9.8092 9.87987 0.0206767
6 9.85789 9.8762 0.0175521
7 9.85242 9.87281 0.01537
8 9.82633 9.867 0.0145053
9 9.8932 9.86991 0.0131825
10 9.86598 9.86952 0.0118701
11 9.88633 9.87104 0.010889
12 9.87916 9.87172 0.0100025
13 9.94353 9.87724 0.0106497
14 9.91255 9.87977 0.0101832
15 9.89987 9.88111 0.00959212
16 9.88749 9.8815 0.00900091
17 9.95816 9.88601 0.00953412
18 9.93869 9.88894 0.00944294
19 9.90703 9.88989 0.00899383
20 9.88744 9.88977 0.00854498
