#BLOCK ACTUAL AVE ERROR
1 68.6737 68.6737 0
2 68.4814 68.5775 0.0679812
3 69.7863 68.9805 0.332095
4 68.1472 68.7722 0.307539
5 69.3736 68.8925 0.26853
6 68.3463 68.8014 0.238704
7 68.7092 68.7883 0.204967
8 69.2466 68.8455 0.187182
9 67.8214 68.7318 0.197972
10 67.4953 68.6081 0.213322
11 68.9462 68.6388 0.196131
12 68.7963 68.652 0.180225
13 69.6957 68.7323 0.183376
14 68.3189 68.7027 0.172638
15 69.2379 68.7384 0.164774
16 68.008 68.6928 0.160674
17 68.939 68.7072 0.151874
18 69.5451 68.7538 0.150401
19 67.9652 68.7123 0.148101
20 69.286 68.741 0.143447
