#BLOCK ACTUAL AVE ERROR
1 -23.1128 -23.1128 0
2 -23.1457 -23.1293 0.0116268
3 -23.1285 -23.129 0.00775389
4 -23.2011 -23.147 0.0166553
5 -23.1336 -23.1444 0.0135377
6 -23.1155 -23.1396 0.0121029
7 -23.1415 -23.1398 0.0103773
8 -23.1827 -23.1452 0.0103706
9 -23.1461 -23.1453 0.00921878
10 -23.1803 -23.1488 0.00893846
11 -23.1667 -23.1504 0.00827283
12 -23.0994 -23.1462 0.00860606
13 -23.2031 -23.1506 0.00899008
14 -23.1087 -23.1476 0.00883023
15 -23.1207 -23.1458 0.00842116
16 -23.1011 -23.143 0.00834451
17 -23.1845 -23.1454 0.00820358
18 -23.2232 -23.1497 0.00881252
19 -23.1134 -23.1478 0.00855401
20 -23.131 -23.147 0.00816738
