DISTANCE AVE ERROR
0.064633 0 0
0.129266 0 0
0.193899 0 0
0.258532 0 0
0.323165 0 0
0.387798 0 0
0.452431 0 0
0.517064 0 0
0.581697 0 0
0.64633 0 0
0.710963 0 0
0.775596 0 0
0.84023 0 0
0.904863 0.000502893 0.000497839
0.969496 0.155592 0.00877621
1.03413 1.06458 0.038062
1.09876 1.99608 0.0537482
1.16339 2.18207 0.0577461
1.22803 1.97718 0.056995
1.29266 1.84191 0.0520778
1.35729 1.57014 0.0402755
1.42193 1.49936 0.0384162
1.48656 1.34765 0.031341
1.55119 1.21105 0.0291694
1.61583 1.17748 0.0275286
1.68046 1.0993 0.029011
1.74509 1.06214 0.0237493
1.80973 1.0453 0.0241669
1.87436 1.04653 0.0263068
1.93899 1.07328 0.0252313
2.00362 1.06143 0.0209357
2.06826 1.07145 0.0219856
2.13289 1.06949 0.0215188
2.19752 1.07454 0.0217652
2.26216 1.05049 0.0195316
2.32679 1.04741 0.0176918
2.39142 1.07219 0.0189315
2.45606 1.06212 0.0170244
2.52069 1.03845 0.0181204
2.58532 1.02056 0.0160202
2.64995 1.03823 0.0171179
2.71459 1.01898 0.0142223
2.77922 1.00772 0.0140978
2.84385 1.00507 0.0136466
2.90849 1.00046 0.0133276
2.97312 1.00889 0.0146682
3.03775 0.998125 0.0122564
3.10239 0.990644 0.0128066
3.16702 1.00302 0.01323
3.23165 0.985326 0.0127286
3.29629 0.989267 0.0143042
3.36092 0.979956 0.0131083
3.42555 0.970497 0.0117361
3.49018 0.962312 0.0116563
3.55482 0.966738 0.011138
3.61945 0.968856 0.0102033
3.68408 0.970624 0.00990715
3.74872 0.983768 0.0113286
3.81335 0.9767 0.0100466
3.87798 0.990719 0.0104299
3.94262 0.981891 0.0101082
4.00725 0.986265 0.00927079
4.07188 0.98992 0.0106769
4.13651 0.98256 0.00931092
4.20115 0.993028 0.0106985
4.26578 0.986374 0.00851784
4.33041 0.998167 0.0100415
4.39505 1.01031 0.0111279
4.45968 1.00442 0.010694
4.52431 1.00711 0.0100708
4.58895 1.00656 0.00964724
4.65358 1.00526 0.010124
4.71821 1.00811 0.00979036
4.78285 0.9873 0.00839575
4.84748 0.972886 0.00848448
4.91211 0.983998 0.00941711
4.97674 0.97726 0.00781756
5.04138 0.975333 0.00886833
5.10601 0.970256 0.00868931
5.17064 0.982823 0.00826589
5.23528 0.991362 0.00808482
5.29991 1.0126 0.00663894
5.36454 0.995115 0.00769371
5.42918 0.990437 0.00803201
5.49381 0.976515 0.00801172
5.55844 0.990684 0.0072359
5.62307 0.978585 0.00799601
5.68771 0.972111 0.00679838
5.75234 0.979645 0.00687167
5.81697 0.980768 0.00655682
5.88161 0.983965 0.00746764
5.94624 0.980485 0.00840675
6.01087 0.982605 0.00764974
6.07551 0.982019 0.0073479
6.14014 0.9822 0.00654913
6.20477 0.980598 0.00789882
6.2694 0.976552 0.00641855
6.33404 0.973107 0.00712214
6.39867 0.976703 0.00605732
6.4633 0.982237 0.00686784
