#BLOCK ACTUAL AVE ERROR
1 1.89755 1.89755 0
2 1.86079 1.87917 0.0129967
3 1.83892 1.86575 0.013967
4 1.83736 1.85865 0.012146
5 1.82231 1.85138 0.0116911
6 1.85173 1.85144 0.00974276
7 1.83005 1.84838 0.00881725
8 1.76422 1.83786 0.012505
9 1.79049 1.8326 0.0121729
10 1.82761 1.8321 0.0109658
11 1.8299 1.8319 0.00997078
12 1.84492 1.83299 0.00919869
13 1.83194 1.83291 0.00849145
14 1.75814 1.82757 0.00941585
15 1.78478 1.82471 0.00921006
16 1.79697 1.82298 0.00879615
17 1.81589 1.82256 0.00828859
18 1.81309 1.82204 0.00784481
19 1.83376 1.82265 0.00745616
20 1.86549 1.82479 0.00738451
21 1.88166 1.8275 0.00751294
22 1.88296 1.83002 0.00758256
23 1.90627 1.83334 0.00794456
24 1.89326 1.83583 0.00799623
25 1.85694 1.83668 0.00772082
26 1.86146 1.83763 0.00748245
27 1.84527 1.83792 0.00721067
28 1.80526 1.83675 0.0070468
29 1.83945 1.83684 0.00680442
30 1.83049 1.83663 0.0065809
31 1.80852 1.83572 0.00643079
32 1.81179 1.83498 0.00627315
33 1.78364 1.83342 0.00627294
34 1.77765 1.83178 0.00629922
35 1.79914 1.83085 0.00618789
36 1.84113 1.83113 0.0060226
37 1.8086 1.83052 0.00589052
38 1.76455 1.82879 0.0059859
39 1.82892 1.82879 0.00583241
40 1.80392 1.82817 0.00571964
41 1.8362 1.82837 0.00558348
42 1.87457 1.82947 0.00555785
43 1.85 1.82994 0.00544908
44 1.85708 1.83056 0.00536004
45 1.87257 1.83149 0.0053216
46 1.84962 1.83189 0.00522048
47 1.8559 1.8324 0.00513434
48 1.9108 1.83403 0.00528077
49 1.95504 1.8365 0.0057214
50 1.87914 1.83735 0.00567016
