#BLOCK ACTUAL AVE ERROR
1 -0.466747 -0.466747 0
2 -0.429946 -0.448347 0.0130111
3 -0.408208 -0.434967 0.0139491
4 -0.406632 -0.427883 0.0121278
5 -0.391622 -0.420631 0.0116709
6 -0.420976 -0.420689 0.00972592
7 -0.399274 -0.417629 0.00880452
8 -0.33349 -0.407112 0.0124956
9 -0.359844 -0.40186 0.0121609
10 -0.397047 -0.401379 0.0109544
11 -0.399308 -0.40119 0.00996014
12 -0.414259 -0.402279 0.00918947
13 -0.401221 -0.402198 0.00848295
14 -0.32745 -0.396859 0.00940837
15 -0.354081 -0.394007 0.00920323
16 -0.366196 -0.392269 0.00879064
17 -0.385151 -0.39185 0.00828351
18 -0.382406 -0.391325 0.00783992
19 -0.403163 -0.391948 0.007452
20 -0.434889 -0.394095 0.00738222
21 -0.450901 -0.3968 0.00750994
22 -0.452226 -0.39932 0.00757938
23 -0.475499 -0.402632 0.00794062
24 -0.462471 -0.405125 0.00799162
25 -0.426153 -0.405966 0.00771609
26 -0.430786 -0.406921 0.00747813
27 -0.414481 -0.407201 0.00720641
28 -0.374586 -0.406036 0.00704254
29 -0.408769 -0.40613 0.00680033
30 -0.399769 -0.405918 0.00657696
31 -0.377913 -0.405015 0.00642654
32 -0.381103 -0.404268 0.006269
33 -0.352988 -0.402714 0.00626866
34 -0.346893 -0.401072 0.00629562
35 -0.368381 -0.400138 0.00618464
36 -0.410356 -0.400422 0.00601935
37 -0.377745 -0.399809 0.00588779
38 -0.333886 -0.398074 0.00598297
39 -0.398263 -0.398079 0.00582956
40 -0.373133 -0.397455 0.00571708
41 -0.405427 -0.39765 0.00558095
42 -0.443761 -0.398748 0.00555501
43 -0.419296 -0.399225 0.00544634
44 -0.426358 -0.399842 0.00535735
45 -0.441776 -0.400774 0.00531873
46 -0.418904 -0.401168 0.00521768
47 -0.425164 -0.401679 0.00513159
48 -0.48004 -0.403311 0.00527797
49 -0.524226 -0.405779 0.00571809
50 -0.448378 -0.406631 0.00566685
