#BLOCK ACTUAL AVE ERROR
1 0.0564748 0.0564748 0
2 0.0552138 0.0558443 0.000445827
3 0.0545258 0.0554048 0.00046596
4 0.05445 0.0551661 0.00040603
5 0.0539624 0.0549253 0.000389713
6 0.0549698 0.0549328 0.000324831
7 0.0542319 0.0548326 0.000293453
8 0.0520003 0.0544786 0.00041906
9 0.0529163 0.054305 0.000406864
10 0.0541445 0.054289 0.000366494
11 0.0542289 0.0542835 0.000333217
12 0.0546755 0.0543162 0.000307045
13 0.0542596 0.0543118 0.000283457
14 0.0518143 0.0541334 0.000314374
15 0.0527074 0.0540384 0.000307454
16 0.0531097 0.0539803 0.000293665
17 0.0537481 0.0539667 0.000276708
18 0.053647 0.0539489 0.000261905
19 0.0543283 0.0539689 0.00024888
20 0.0554245 0.0540416 0.000246849
21 0.0559127 0.0541307 0.000250658
22 0.0559591 0.0542139 0.000252667
23 0.056767 0.0543249 0.000264947
24 0.056294 0.0544069 0.000266308
25 0.0550813 0.0544339 0.000257018
26 0.055266 0.0544659 0.000249118
27 0.0547059 0.0544748 0.00024005
28 0.0533927 0.0544361 0.000234566
29 0.0544879 0.0544379 0.000226485
30 0.054159 0.0544286 0.000219126
31 0.0534896 0.0543983 0.000214141
32 0.0535978 0.0543733 0.000208905
33 0.0526512 0.0543211 0.000208991
34 0.052442 0.0542659 0.000210025
35 0.053148 0.0542339 0.000206439
36 0.0545749 0.0542434 0.000200922
37 0.0534839 0.0542229 0.000196537
38 0.0519815 0.0541639 0.00020002
39 0.0541401 0.0541633 0.000194892
40 0.0533222 0.0541422 0.000191151
41 0.0543943 0.0541484 0.000186587
42 0.0556492 0.0541841 0.000185535
43 0.0548711 0.0542001 0.000181907
44 0.055087 0.0542203 0.000178886
45 0.0556671 0.0542524 0.000177777
46 0.0548192 0.0542647 0.000174339
47 0.0550985 0.0542825 0.000171529
48 0.0568792 0.0543366 0.00017628
49 0.0584016 0.0544195 0.00019121
50 0.055837 0.0544479 0.000189476
