#BLOCK ACTUAL AVE ERROR
1 1.26503 1.26503 0
2 1.24052 1.25278 0.00866448
3 1.22595 1.24383 0.00931134
4 1.2249 1.2391 0.00809732
5 1.21487 1.23426 0.00779409
6 1.23449 1.23429 0.00649517
7 1.22003 1.23226 0.00587816
8 1.17615 1.22524 0.00833667
9 1.19366 1.22173 0.00811528
10 1.21841 1.2214 0.00731057
11 1.21993 1.22127 0.00664719
12 1.22994 1.22199 0.00613246
13 1.2213 1.22194 0.00566097
14 1.17209 1.21838 0.00627724
15 1.18985 1.21648 0.00614004
16 1.19798 1.21532 0.0058641
17 1.2106 1.21504 0.00552573
18 1.20872 1.21469 0.00522988
19 1.22251 1.2151 0.00497077
20 1.24366 1.21653 0.00492301
21 1.25444 1.21833 0.00500863
22 1.25531 1.22002 0.00505504
23 1.27085 1.22223 0.00529637
24 1.26217 1.22389 0.00533082
25 1.23796 1.22445 0.00514721
26 1.24097 1.22509 0.0049883
27 1.23018 1.22528 0.00480711
28 1.20351 1.2245 0.00469787
29 1.2263 1.22456 0.00453628
30 1.22033 1.22442 0.00438727
31 1.20568 1.22382 0.00428719
32 1.20786 1.22332 0.0041821
33 1.1891 1.22228 0.00418196
34 1.1851 1.22119 0.00419948
35 1.19943 1.22056 0.00412526
36 1.22742 1.22076 0.00401506
37 1.20574 1.22035 0.00392702
38 1.17637 1.21919 0.0039906
39 1.21928 1.21919 0.00388827
40 1.20262 1.21878 0.00381309
41 1.22413 1.21891 0.00372232
42 1.24971 1.21964 0.00370523
43 1.23334 1.21996 0.00363272
44 1.23806 1.22037 0.00357336
45 1.24838 1.221 0.00354773
46 1.23308 1.22126 0.00348032
47 1.23726 1.2216 0.00342289
48 1.27386 1.22269 0.00352051
49 1.30336 1.22433 0.00381427
50 1.25276 1.2249 0.00378011
