#BLOCK ACTUAL AVE ERROR
1 1.4308 1.4308 0
2 1.43084 1.43082 1.43704e-05
3 1.43071 1.43078 3.18777e-05
4 1.43072 1.43077 2.72314e-05
5 1.43069 1.43075 2.62321e-05
6 1.43075 1.43075 2.18601e-05
7 1.43077 1.43076 1.89611e-05
8 1.43073 1.43075 1.68952e-05
9 1.43065 1.43074 1.84373e-05
10 1.43056 1.43072 2.35748e-05
11 1.43059 1.43071 2.42522e-05
12 1.43066 1.43071 2.26211e-05
13 1.43072 1.43071 2.09157e-05
14 1.43068 1.43071 1.94876e-05
15 1.4307 1.43071 1.81967e-05
16 1.43077 1.43071 1.75368e-05
17 1.43074 1.43071 1.662e-05
18 1.43068 1.43071 1.57852e-05
19 1.4306 1.4307 1.60341e-05
20 1.4306 1.4307 1.61238e-05
21 1.43076 1.4307 1.55951e-05
22 1.43073 1.4307 1.49559e-05
23 1.43077 1.43071 1.45883e-05
24 1.43079 1.43071 1.43696e-05
25 1.43079 1.43071 1.41303e-05
26 1.43067 1.43071 1.36772e-05
27 1.43079 1.43071 1.34968e-05
28 1.43068 1.43071 1.30744e-05
29 1.43068 1.43071 1.26849e-05
30 1.43072 1.43071 1.22675e-05
31 1.43061 1.43071 1.23444e-05
32 1.43069 1.43071 1.19708e-05
33 1.43066 1.43071 1.17089e-05
34 1.43076 1.43071 1.14767e-05
35 1.43076 1.43071 1.1238e-05
36 1.43078 1.43071 1.10779e-05
37 1.43086 1.43072 1.14717e-05
38 1.43066 1.43071 1.12461e-05
39 1.43066 1.43071 1.10426e-05
40 1.43079 1.43071 1.0942e-05
41 1.43077 1.43072 1.07566e-05
42 1.43081 1.43072 1.07129e-05
43 1.43071 1.43072 1.0466e-05
44 1.43073 1.43072 1.02299e-05
45 1.43079 1.43072 1.01367e-05
46 1.43072 1.43072 9.91658e-06
47 1.43073 1.43072 9.70975e-06
48 1.43076 1.43072 9.53649e-06
49 1.43082 1.43072 9.54471e-06
50 1.43076 1.43072 9.38186e-06
