#N_BLOCK:  ACCEPTANCE:
1 0.613003
2 0.612875
3 0.612803
4 0.61269
5 0.612883
6 0.612918
7 0.612969
8 0.613059
9 0.613062
10 0.61306
11 0.61294
12 0.612951
13 0.613139
14 0.613038
15 0.613176
16 0.613188
17 0.613369
18 0.613392
19 0.613428
20 0.61348
21 0.613523
22 0.613449
23 0.613458
24 0.613376
25 0.613463
26 0.613429
27 0.61345
28 0.613504
29 0.613587
30 0.6136
31 0.613647
32 0.613681
33 0.613761
34 0.613684
35 0.613743
36 0.613745
37 0.613672
38 0.613744
39 0.613684
40 0.613684
41 0.613665
42 0.613621
43 0.61364
44 0.613617
45 0.613633
46 0.613699
47 0.613702
48 0.613703
49 0.613701
50 0.613685
