DISTANCE AVE ERROR
0.064633 0 0
0.129266 0 0
0.193899 0 0
0.258532 0 0
0.323165 0 0
0.387798 0 0
0.452431 0 0
0.517064 0 0
0.581697 0 0
0.64633 0 0
0.710963 0 0
0.775596 0 0
0.84023 0 0
0.904863 0.00120934 0.000147125
0.969496 0.150038 0.00135392
1.03413 1.06636 0.00445263
1.09876 2.02951 0.00672249
1.16339 2.25934 0.00773176
1.22803 2.09371 0.00658878
1.29266 1.82599 0.005372
1.35729 1.62139 0.00470721
1.42193 1.44975 0.00379535
1.48656 1.34054 0.00417746
1.55119 1.24779 0.00377493
1.61583 1.19367 0.00310175
1.68046 1.14642 0.00282442
1.74509 1.10857 0.00258291
1.80973 1.09177 0.0021862
1.87436 1.07032 0.00244068
1.93899 1.06932 0.00257851
2.00362 1.05894 0.00200907
2.06826 1.0524 0.0020055
2.13289 1.05059 0.00243531
2.19752 1.05292 0.00204492
2.26216 1.04802 0.00177735
2.32679 1.039 0.00166224
2.39142 1.0404 0.0017781
2.45606 1.02867 0.00203746
2.52069 1.02494 0.00173299
2.58532 1.01976 0.00153056
2.64995 1.01933 0.00142879
2.71459 1.01138 0.00153127
2.77922 1.01005 0.00157661
2.84385 1.0071 0.00152903
2.90849 1.0065 0.00141382
2.97312 1.0049 0.00148764
3.03775 0.99948 0.0016046
3.10239 1.00104 0.00144623
3.16702 0.997054 0.00156527
3.23165 0.997414 0.00120959
3.29629 0.996418 0.00122746
3.36092 0.995741 0.00126083
3.42555 0.995111 0.00136144
3.49018 0.993948 0.00126254
3.55482 0.992258 0.00126032
3.61945 0.994796 0.00119062
3.68408 0.992922 0.00115041
3.74872 0.991341 0.000968914
3.81335 0.989849 0.00106566
3.87798 0.990815 0.00121009
3.94262 0.990467 0.00111493
4.00725 0.989071 0.00102131
4.07188 0.988986 0.00113197
4.13651 0.989296 0.000900829
4.20115 0.987294 0.000998571
4.26578 0.987778 0.000970563
4.33041 0.987911 0.000915022
4.39505 0.987436 0.000932946
4.45968 0.987723 0.00099211
4.52431 0.987913 0.000834346
4.58895 0.989266 0.000791894
4.65358 0.985003 0.000727038
4.71821 0.987398 0.000823654
4.78285 0.988438 0.00081708
4.84748 0.988189 0.000770099
4.91211 0.986514 0.00101765
4.97674 0.987618 0.000588144
5.04138 0.985727 0.000919898
5.10601 0.985839 0.000702768
5.17064 0.985727 0.00075472
5.23528 0.98594 0.000607006
5.29991 0.986034 0.000776047
5.36454 0.986965 0.000661717
5.42918 0.987167 0.000756714
5.49381 0.98574 0.000765564
5.55844 0.985104 0.000903656
5.62307 0.98617 0.000612268
5.68771 0.986461 0.000796723
5.75234 0.986346 0.00068052
5.81697 0.986309 0.000675881
5.88161 0.985217 0.000778318
5.94624 0.985963 0.000689161
6.01087 0.985612 0.000649336
6.07551 0.985522 0.000648456
6.14014 0.9871 0.000694721
6.20477 0.985672 0.000643941
6.2694 0.986281 0.00064013
6.33404 0.984579 0.000682496
6.39867 0.985891 0.000720951
6.4633 0.986085 0.000593952
