#BLOCK ACTUAL AVE ERROR
1 -0.415978 -0.415978 0
2 -0.413442 -0.41471 0.000896365
3 -0.410026 -0.413149 0.00140778
4 -0.411204 -0.412663 0.00113665
5 -0.401342 -0.410399 0.00221987
6 -0.41164 -0.410605 0.00185951
7 -0.410236 -0.410553 0.00159461
8 -0.413998 -0.410983 0.00145229
9 -0.41293 -0.4112 0.00130693
10 -0.409839 -0.411064 0.0011833
11 -0.415974 -0.41151 0.00115685
12 -0.414645 -0.411771 0.00108954
13 -0.405179 -0.411264 0.00111752
14 -0.410266 -0.411193 0.00103996
15 -0.409066 -0.411051 0.000980254
16 -0.410572 -0.411021 0.000919446
17 -0.406239 -0.41074 0.000907376
18 -0.40924 -0.410656 0.000860785
19 -0.406266 -0.410425 0.00084593
20 -0.405613 -0.410185 0.000837151
21 -0.411411 -0.410243 0.00079932
22 -0.415086 -0.410463 0.000792725
23 -0.411551 -0.410511 0.000759669
24 -0.41672 -0.410769 0.000770818
25 -0.410648 -0.410764 0.00074
26 -0.415201 -0.410935 0.000730946
27 -0.411293 -0.410948 0.000703994
28 -0.407127 -0.410812 0.000691953
29 -0.405658 -0.410634 0.000690536
30 -0.410774 -0.410639 0.000667534
31 -0.406327 -0.4105 0.000660335
32 -0.412748 -0.41057 0.000643428
33 -0.404876 -0.410397 0.000646655
34 -0.414251 -0.410511 0.000637492
35 -0.405512 -0.410368 0.000635075
36 -0.409873 -0.410354 0.000617583
37 -0.412583 -0.410414 0.000603822
38 -0.405958 -0.410297 0.000599214
39 -0.410578 -0.410304 0.000583893
40 -0.411328 -0.41033 0.000569856
41 -0.40882 -0.410293 0.000557146
42 -0.414808 -0.410401 0.000554153
43 -0.411759 -0.410432 0.000542165
44 -0.411123 -0.410448 0.00053007
45 -0.41219 -0.410487 0.000519703
46 -0.407853 -0.410429 0.000511548
47 -0.411027 -0.410442 0.000500822
48 -0.409538 -0.410423 0.000490742
49 -0.410456 -0.410424 0.000480728
50 -0.416728 -0.41055 0.000487367
