#BLOCK ACTUAL AVE ERROR
1 0.0598972 0.0598972 0
2 0.0598958 0.0598965 4.86402e-07
3 0.0598879 0.0598937 2.35038e-06
4 0.0598909 0.059893 1.85772e-06
5 0.0598991 0.0598942 1.84254e-06
6 0.0598966 0.0598946 1.57734e-06
7 0.0598888 0.0598938 1.55676e-06
8 0.0598975 0.0598942 1.43098e-06
9 0.0598936 0.0598942 1.27367e-06
10 0.0598988 0.0598946 1.227e-06
11 0.0598965 0.0598948 1.12751e-06
12 0.0598961 0.0598949 1.03918e-06
13 0.0598982 0.0598952 9.9051e-07
14 0.0598962 0.0598952 9.22387e-07
15 0.0598997 0.0598955 9.08485e-07
16 0.0599 0.0598958 8.93874e-07
17 0.0598996 0.059896 8.68328e-07
18 0.059899 0.0598962 8.35671e-07
19 0.0598966 0.0598962 7.91941e-07
20 0.0598906 0.0598959 8.001e-07
21 0.0598926 0.0598958 7.77225e-07
22 0.05989 0.0598955 7.84481e-07
23 0.0598992 0.0598957 7.66279e-07
24 0.059891 0.0598955 7.5843e-07
25 0.059893 0.0598954 7.34471e-07
26 0.0598929 0.0598953 7.12565e-07
27 0.0598928 0.0598952 6.92288e-07
28 0.0598947 0.0598952 6.67792e-07
29 0.0598997 0.0598953 6.62778e-07
30 0.0598909 0.0598952 6.57228e-07
31 0.0598987 0.0598953 6.45875e-07
32 0.0598937 0.0598952 6.2762e-07
33 0.0598917 0.0598951 6.17557e-07
34 0.0598957 0.0598952 5.99635e-07
35 0.0598959 0.0598952 5.8283e-07
36 0.059895 0.0598952 5.66671e-07
37 0.0598934 0.0598951 5.53324e-07
38 0.0598983 0.0598952 5.44939e-07
39 0.0598952 0.0598952 5.30966e-07
40 0.0598947 0.0598952 5.17824e-07
41 0.0598974 0.0598952 5.07926e-07
42 0.0598965 0.0598953 4.96663e-07
43 0.0598942 0.0598953 4.85696e-07
44 0.0598947 0.0598952 4.74846e-07
45 0.0598916 0.0598952 4.7109e-07
46 0.059899 0.0598952 4.68224e-07
47 0.059891 0.0598952 4.66842e-07
48 0.0598921 0.0598951 4.61393e-07
49 0.059895 0.0598951 4.51983e-07
50 0.0598931 0.059895 4.44635e-07
