#BLOCK ACTUAL AVE ERROR
1 -9.4313 -9.4313 0
2 -9.36285 -9.39708 0.0242019
3 -9.27062 -9.35493 0.0380099
4 -9.30243 -9.3418 0.0306895
5 -9.03615 -9.28067 0.0599365
6 -9.31419 -9.28626 0.0502068
7 -9.27629 -9.28483 0.0430546
8 -9.37787 -9.29646 0.0392119
9 -9.34901 -9.3023 0.035287
10 -9.26556 -9.29863 0.031949
11 -9.43119 -9.31068 0.031235
12 -9.39532 -9.31773 0.0294176
13 -9.13975 -9.30404 0.0301729
14 -9.2771 -9.30212 0.028079
15 -9.24468 -9.29829 0.0264669
16 -9.28534 -9.29748 0.024825
17 -9.16836 -9.28988 0.0244992
18 -9.24938 -9.28763 0.0232412
19 -9.16909 -9.28139 0.0228401
20 -9.15147 -9.2749 0.0226031
21 -9.308 -9.27647 0.0215817
22 -9.40724 -9.28242 0.0214036
23 -9.3118 -9.2837 0.0205111
24 -9.45135 -9.29068 0.0208121
25 -9.28741 -9.29055 0.01998
26 -9.41033 -9.29516 0.0197355
27 -9.30483 -9.29552 0.0190078
28 -9.19234 -9.29183 0.0186827
29 -9.15268 -9.28703 0.0186445
30 -9.29081 -9.28716 0.0180234
31 -9.17073 -9.2834 0.0178291
32 -9.34411 -9.2853 0.0173725
33 -9.13155 -9.28064 0.0174597
34 -9.38469 -9.2837 0.0172123
35 -9.14873 -9.27984 0.017147
36 -9.26648 -9.27947 0.0166747
37 -9.33965 -9.2811 0.0163032
38 -9.16077 -9.27793 0.0161788
39 -9.28553 -9.27813 0.0157651
40 -9.30575 -9.27882 0.0153861
41 -9.23804 -9.27782 0.015043
42 -9.39972 -9.28073 0.0149621
43 -9.3174 -9.28158 0.0146385
44 -9.30023 -9.282 0.0143119
45 -9.32904 -9.28305 0.014032
46 -9.21195 -9.2815 0.0138118
47 -9.29765 -9.28185 0.0135222
48 -9.25743 -9.28134 0.01325
49 -9.28223 -9.28136 0.0129796
50 -9.45157 -9.28476 0.0131589
