DISTANCE AVE ERROR
0.0256496 0 0
0.0512993 0 0
0.0769489 0 0
0.102599 0 0
0.128248 0 0
0.153898 0 0
0.179547 0 0
0.205197 0 0
0.230847 0 0
0.256496 0 0
0.282146 0 0
0.307796 0 0
0.333445 0 0
0.359095 0 0
0.384745 0 0
0.410394 0 0
0.436044 0 0
0.461694 0 0
0.487343 0 0
0.512993 0 0
0.538642 0 0
0.564292 0 0
0.589942 0 0
0.615591 0 0
0.641241 0 0
0.666891 0 0
0.69254 0 0
0.71819 0 0
0.74384 0 0
0.769489 0 0
0.795139 0 0
0.820788 0 0
0.846438 0 0
0.872088 0 0
0.897737 0.00102343 0.000226144
0.923387 0.024887 0.00112721
0.949037 0.18224 0.00371642
0.974686 0.594063 0.00623324
1.00034 1.22717 0.010479
1.02599 1.88898 0.011747
1.05164 2.3579 0.0128303
1.07728 2.55573 0.0137053
1.10293 2.52834 0.0115633
1.12858 2.37425 0.00960893
1.15423 2.17981 0.0114985
1.17988 1.94263 0.0105607
1.20553 1.74857 0.00969125
1.23118 1.55566 0.0112178
1.25683 1.38221 0.0105839
1.28248 1.25095 0.010249
1.30813 1.12226 0.00975269
1.33378 1.03268 0.00780319
1.35943 0.942969 0.00758335
1.38508 0.869283 0.00658951
1.41073 0.814178 0.00673192
1.43638 0.779246 0.00694085
1.46203 0.746521 0.00756978
1.48768 0.713642 0.00774084
1.51333 0.691363 0.00499896
1.53898 0.683296 0.00466794
1.56463 0.671658 0.00501477
1.59028 0.663842 0.00624219
1.61593 0.677502 0.006035
1.64158 0.690091 0.00616482
1.66723 0.70304 0.00646457
1.69288 0.728526 0.00529546
1.71853 0.748322 0.00520877
1.74418 0.78119 0.00554327
1.76983 0.814753 0.00548815
1.79547 0.851062 0.00620151
1.82112 0.889025 0.00571439
1.84677 0.929727 0.00507665
1.87242 0.975551 0.0059797
1.89807 1.02924 0.00550199
1.92372 1.06899 0.00565111
1.94937 1.10241 0.00659401
1.97502 1.12195 0.00534954
2.00067 1.1523 0.00582691
2.02632 1.17542 0.00524344
2.05197 1.2053 0.00442958
2.07762 1.21816 0.00512819
2.10327 1.21621 0.00624747
2.12892 1.20932 0.00587227
2.15457 1.19755 0.00543917
2.18022 1.17139 0.00642658
2.20587 1.15198 0.00530394
2.23152 1.12406 0.00490627
2.25717 1.09643 0.00506319
2.28282 1.06748 0.00493748
2.30847 1.03914 0.00473321
2.33412 1.0165 0.00485166
2.35977 0.991456 0.0048849
2.38542 0.971103 0.00425587
2.41107 0.950285 0.00443114
2.43672 0.935543 0.00415514
2.46237 0.913843 0.00381026
2.48802 0.897436 0.00348428
2.51366 0.886337 0.004145
2.53931 0.876175 0.00418824
2.56496 0.883092 0.004083
