#BLOCK ACTUAL AVE ERROR
1 1.65207 1.65207 0
2 1.64136 1.64672 0.00378712
3 1.64467 1.64604 0.00258534
4 1.70192 1.66001 0.0122533
5 1.68273 1.66455 0.0106116
6 1.65066 1.66224 0.00909206
7 1.71292 1.66948 0.0102795
8 1.7147 1.67513 0.0104339
9 1.63578 1.67076 0.0101492
10 1.65017 1.6687 0.00934076
11 1.65395 1.66736 0.00858734
12 1.65144 1.66603 0.00797347
13 1.66395 1.66587 0.00736173
14 1.70957 1.66899 0.00746847
15 1.69883 1.67098 0.00723063
16 1.67824 1.67144 0.00679294
17 1.63302 1.66918 0.0067588
18 1.6464 1.66791 0.00650064
19 1.66607 1.66781 0.00615923
20 1.64295 1.66657 0.0059754
21 1.63616 1.66512 0.00586374
22 1.68335 1.66595 0.00565547
23 1.70151 1.6675 0.00561688
24 1.70289 1.66897 0.00557307
25 1.71164 1.67068 0.00560539
26 1.66582 1.67049 0.00539291
27 1.71145 1.67201 0.00540232
28 1.67412 1.67208 0.0052099
29 1.64187 1.67104 0.00513335
30 1.66503 1.67084 0.00496616
31 1.6604 1.67051 0.00481737
32 1.7124 1.67181 0.00484142
33 1.66103 1.67149 0.00470574
34 1.61635 1.66987 0.00483866
35 1.62737 1.66865 0.00485036
36 1.67065 1.66871 0.00471594
37 1.6797 1.669 0.00459783
38 1.64164 1.66828 0.00453286
39 1.66548 1.66821 0.0044172
40 1.64991 1.66775 0.00433042
41 1.67289 1.66788 0.00422661
42 1.68697 1.66833 0.00415035
43 1.6172 1.66715 0.00422077
44 1.65739 1.66692 0.00413066
45 1.68889 1.66741 0.0040676
46 1.69344 1.66798 0.00401833
47 1.66748 1.66797 0.00393285
48 1.62353 1.66704 0.00395838
49 1.67348 1.66717 0.00387978
50 1.68686 1.66757 0.0038221
