#BLOCK ACTUAL AVE ERROR
1 -5.42397 -5.42397 0
2 -5.41354 -5.41875 0.00368704
3 -5.41462 -5.41738 0.00270265
4 -5.47459 -5.43168 0.0125523
5 -5.45561 -5.43646 0.0109162
6 -5.42517 -5.43458 0.00925784
7 -5.48704 -5.44208 0.0105404
8 -5.4869 -5.44768 0.0106081
9 -5.41027 -5.44352 0.0102114
10 -5.42285 -5.44145 0.00939721
11 -5.42497 -5.43996 0.00866162
12 -5.42468 -5.43868 0.00803287
13 -5.43589 -5.43847 0.00741782
14 -5.48324 -5.44167 0.00754581
15 -5.47225 -5.4437 0.00731298
16 -5.45258 -5.44426 0.00687693
17 -5.40536 -5.44197 0.00684253
18 -5.41795 -5.44064 0.00659124
19 -5.43864 -5.44053 0.00624517
20 -5.41381 -5.4392 0.00607415
21 -5.40772 -5.4377 0.0059669
22 -5.45864 -5.43865 0.00577109
23 -5.47604 -5.44027 0.00574458
24 -5.47663 -5.44179 0.0057015
25 -5.48805 -5.44364 0.00576589
26 -5.43914 -5.44347 0.00554673
27 -5.48239 -5.44491 0.00552543
28 -5.44735 -5.445 0.00532878
29 -5.41523 -5.44397 0.00524296
30 -5.43826 -5.44378 0.00507165
31 -5.4338 -5.44346 0.00491825
32 -5.48801 -5.44485 0.0049577
33 -5.43432 -5.44453 0.00481771
34 -5.38978 -5.44292 0.00493784
35 -5.39921 -5.44167 0.00495214
36 -5.44357 -5.44172 0.00481486
37 -5.44839 -5.4419 0.0046881
38 -5.41251 -5.44113 0.0046281
39 -5.43671 -5.44102 0.00451082
40 -5.42365 -5.44058 0.00441889
41 -5.44674 -5.44073 0.00431367
42 -5.46077 -5.44121 0.00423726
43 -5.39039 -5.44003 0.00430036
44 -5.43054 -5.43981 0.00420803
45 -5.46257 -5.44032 0.0041448
46 -5.46678 -5.44089 0.00409441
47 -5.44118 -5.4409 0.0040073
48 -5.39632 -5.43997 0.00403001
49 -5.44821 -5.44014 0.00395127
50 -5.45958 -5.44053 0.00389132
