#BLOCK ACTUAL AVE ERROR
1 0.0388815 0.0388815 0
2 0.0337001 0.0362908 0.00183192
3 0.0356479 0.0360765 0.00123375
4 0.0626115 0.0427102 0.00581903
5 0.0522997 0.0446281 0.00496123
6 0.0372831 0.043404 0.00428272
7 0.0686535 0.047011 0.00496264
8 0.0693108 0.0497985 0.00506502
9 0.0303223 0.0476345 0.00494296
10 0.0374962 0.0466206 0.00455145
11 0.0391972 0.0459458 0.00418741
12 0.0375117 0.0452429 0.003897
13 0.0443649 0.0451754 0.00359781
14 0.0661143 0.046671 0.00363844
15 0.0621842 0.0477052 0.00353981
16 0.0526144 0.0480121 0.00333185
17 0.0296181 0.0469301 0.00330688
18 0.0364922 0.0463502 0.0031736
19 0.0452371 0.0462916 0.00300711
20 0.0344064 0.0456973 0.00291488
21 0.032619 0.0450746 0.00284183
22 0.0541919 0.045489 0.00274271
23 0.0630851 0.046254 0.00272807
24 0.0634704 0.0469714 0.00270707
25 0.066286 0.047744 0.00270679
26 0.0442291 0.0476088 0.00260606
27 0.0681428 0.0483693 0.00261816
28 0.0486222 0.0483783 0.00252467
29 0.0342191 0.0478901 0.00248437
30 0.045465 0.0478093 0.00240288
31 0.0423758 0.047634 0.00233175
32 0.067317 0.0482491 0.0023386
33 0.0419996 0.0480597 0.00227539
34 0.0209503 0.0472624 0.00234401
35 0.0264615 0.046668 0.00235117
36 0.0483338 0.0467143 0.00228632
37 0.0532418 0.0468907 0.00223132
38 0.0351096 0.0465807 0.00219403
39 0.0449317 0.0465384 0.00213818
40 0.0387199 0.046343 0.00209364
41 0.0469255 0.0463572 0.00204263
42 0.0543431 0.0465473 0.00200282
43 0.0226343 0.0459912 0.00203199
44 0.0408998 0.0458755 0.0019891
45 0.0566257 0.0461144 0.00195919
46 0.0578991 0.0463706 0.00193328
47 0.0463152 0.0463694 0.00189214
48 0.0245739 0.0459153 0.00190643
49 0.0487069 0.0459723 0.00186837
50 0.0559053 0.0461709 0.00184154
