#BLOCK ACTUAL AVE ERROR
1 1.10138 1.10138 0
2 1.09424 1.09781 0.00252475
3 1.09645 1.09736 0.00172356
4 1.13461 1.10667 0.00816885
5 1.12182 1.1097 0.00707439
6 1.10044 1.10816 0.00606138
7 1.14195 1.11298 0.00685302
8 1.14313 1.11675 0.00695593
9 1.09052 1.11384 0.00676614
10 1.10011 1.11247 0.00622717
11 1.10263 1.11157 0.00572489
12 1.10096 1.11069 0.00531565
13 1.1093 1.11058 0.00490782
14 1.13972 1.11266 0.00497898
15 1.13255 1.11399 0.00482042
16 1.11883 1.11429 0.00452863
17 1.08868 1.11278 0.00450586
18 1.0976 1.11194 0.00433376
19 1.11071 1.11188 0.00410615
20 1.0953 1.11105 0.0039836
21 1.09077 1.11008 0.00390916
22 1.12224 1.11063 0.00377031
23 1.13434 1.11167 0.00374459
24 1.13526 1.11265 0.00371538
25 1.14109 1.11379 0.00373693
26 1.11055 1.11366 0.00359527
27 1.14097 1.11467 0.00360154
28 1.11608 1.11472 0.00347327
29 1.09458 1.11403 0.00342223
30 1.11002 1.11389 0.00331077
31 1.10693 1.11367 0.00321158
32 1.1416 1.11454 0.00322762
33 1.10735 1.11433 0.00313716
34 1.07757 1.11324 0.00322577
35 1.08491 1.11243 0.00323357
36 1.11377 1.11247 0.00314396
37 1.1198 1.11267 0.00306522
38 1.09443 1.11219 0.00302191
39 1.11032 1.11214 0.0029448
40 1.09994 1.11184 0.00288695
41 1.11526 1.11192 0.00281774
42 1.12465 1.11222 0.0027669
43 1.07813 1.11143 0.00281385
44 1.10493 1.11128 0.00275377
45 1.12593 1.11161 0.00271173
46 1.12896 1.11199 0.00267889
47 1.11165 1.11198 0.0026219
48 1.08235 1.11136 0.00263892
49 1.11565 1.11145 0.00258652
50 1.12457 1.11171 0.00254807
