#BLOCK ACTUAL AVE ERROR
1 -3.77189 -3.77189 0
2 -3.77217 -3.77203 0.000100081
3 -3.76995 -3.77134 0.000571055
4 -3.77267 -3.77167 0.00051651
5 -3.77288 -3.77191 0.000466683
6 -3.77451 -3.77235 0.000553965
7 -3.77412 -3.7726 0.0005295
8 -3.7722 -3.77255 0.000465664
9 -3.77448 -3.77276 0.000460914
10 -3.77268 -3.77276 0.000414903
11 -3.77102 -3.7726 0.000406044
12 -3.77323 -3.77265 0.000375626
13 -3.77194 -3.7726 0.000350646
14 -3.77366 -3.77267 0.000333751
15 -3.77341 -3.77272 0.000315152
16 -3.77434 -3.77282 0.0003112
17 -3.77234 -3.77279 0.000294194
18 -3.77155 -3.77272 0.000285905
19 -3.77257 -3.77272 0.000270969
20 -3.77086 -3.77262 0.000272892
21 -3.77157 -3.77257 0.000264495
22 -3.77528 -3.7727 0.000279646
23 -3.77453 -3.77278 0.00027864
24 -3.77374 -3.77282 0.000269934
25 -3.77641 -3.77296 0.000294902
26 -3.77331 -3.77297 0.000283872
27 -3.77094 -3.7729 0.000283218
28 -3.77323 -3.77291 0.000273349
29 -3.77335 -3.77293 0.000264352
30 -3.77323 -3.77294 0.000255733
31 -3.7734 -3.77295 0.00024792
32 -3.77561 -3.77303 0.000253738
33 -3.7733 -3.77304 0.000246173
34 -3.77342 -3.77305 0.000239186
35 -3.77184 -3.77302 0.000234836
36 -3.77292 -3.77302 0.00022833
37 -3.7687 -3.7729 0.00025022
38 -3.77087 -3.77285 0.000249289
39 -3.77124 -3.7728 0.000246286
40 -3.77375 -3.77283 0.000241251
41 -3.77385 -3.77285 0.00023665
42 -3.7738 -3.77288 0.000232087
43 -3.7732 -3.77288 0.00022681
44 -3.77314 -3.77289 0.000221732
45 -3.77369 -3.77291 0.000217511
46 -3.77334 -3.77292 0.000212984
47 -3.7737 -3.77293 0.000209106
48 -3.77279 -3.77293 0.000204771
49 -3.77473 -3.77297 0.000203846
50 -3.77272 -3.77296 0.000199829
