#N_BLOCK:  ACCEPTANCE:
1 0.498367
2 0.498117
3 0.497943
4 0.497873
5 0.497922
6 0.497796
7 0.497752
8 0.49776
9 0.497788
10 0.497978
11 0.497889
12 0.498005
13 0.497956
14 0.497939
15 0.498096
16 0.498085
17 0.498101
18 0.498026
19 0.498177
20 0.498115
21 0.49815
22 0.498255
23 0.4984
24 0.498354
25 0.498363
26 0.498406
27 0.498506
28 0.4986
29 0.498695
30 0.498678
31 0.498706
32 0.498598
33 0.498527
34 0.498531
35 0.4985
36 0.498324
37 0.498403
38 0.498461
39 0.498463
40 0.498519
41 0.498465
42 0.498421
43 0.498441
44 0.498369
45 0.498422
46 0.498377
47 0.498436
48 0.49846
49 0.498525
50 0.49852
