DISTANCE AVE ERROR
0.0256496 0 0
0.0512993 0 0
0.0769489 0 0
0.102599 0 0
0.128248 0 0
0.153898 0 0
0.179547 0 0
0.205197 0 0
0.230847 0 0
0.256496 0 0
0.282146 0 0
0.307796 0 0
0.333445 0 0
0.359095 0 0
0.384745 0 0
0.410394 0 0
0.436044 0 0
0.461694 0 0
0.487343 0 0
0.512993 0 0
0.538642 0 0
0.564292 0 0
0.589942 0 0
0.615591 0 0
0.641241 0 0
0.666891 0 0
0.69254 0 0
0.71819 0 0
0.74384 0 0
0.769489 0 0
0.795139 0 0
0.820788 0 0
0.846438 0 0
0.872088 2.13975e-05 9.24342e-06
0.897737 0.00120317 6.85101e-05
0.923387 0.0239516 0.000347236
0.949037 0.163312 0.00125456
0.974686 0.564721 0.00265743
1.00034 1.19898 0.00358865
1.02599 1.86 0.00369559
1.05164 2.33635 0.00362762
1.07728 2.55194 0.00283847
1.10293 2.54866 0.00329844
1.12858 2.41119 0.00266066
1.15423 2.19855 0.00286394
1.17988 1.97384 0.00351636
1.20553 1.75572 0.00311261
1.23118 1.5563 0.00270984
1.25683 1.38887 0.00268525
1.28248 1.24521 0.00227383
1.30813 1.12475 0.00229798
1.33378 1.02269 0.0021713
1.35943 0.939925 0.00162617
1.38508 0.872128 0.00160632
1.41073 0.81898 0.00122916
1.43638 0.774272 0.00130876
1.46203 0.738413 0.00152977
1.48768 0.710934 0.00139245
1.51333 0.693401 0.00123266
1.53898 0.678248 0.00161001
1.56463 0.672164 0.00161742
1.59028 0.672551 0.00163372
1.61593 0.67612 0.0015633
1.64158 0.688151 0.00146893
1.66723 0.703743 0.00142271
1.69288 0.72498 0.0014972
1.71853 0.749764 0.00157992
1.74418 0.783276 0.00150599
1.76983 0.816038 0.00133613
1.79547 0.853992 0.00142516
1.82112 0.894722 0.00150715
1.84677 0.935231 0.00168371
1.87242 0.974845 0.00149448
1.89807 1.01702 0.00168391
1.92372 1.05478 0.00179374
1.94937 1.09326 0.00146441
1.97502 1.12779 0.00143508
2.00067 1.15838 0.00132383
2.02632 1.18517 0.00134093
2.05197 1.20407 0.00121165
2.07762 1.21408 0.00136481
2.10327 1.21527 0.00136357
2.12892 1.2091 0.00112446
2.15457 1.19528 0.00146923
2.18022 1.17543 0.00173232
2.20587 1.15165 0.00151533
2.23152 1.12503 0.00161176
2.25717 1.09547 0.00165815
2.28282 1.06693 0.00177614
2.30847 1.0394 0.00128389
2.33412 1.01159 0.00121075
2.35977 0.98824 0.00123233
2.38542 0.967242 0.00116066
2.41107 0.947713 0.00120495
2.43672 0.930177 0.00094885
2.46237 0.917836 0.00126986
2.48802 0.908833 0.00121953
2.51366 0.895601 0.00111919
2.53931 0.885278 0.00135372
2.56496 0.885241 0.00114763
