#BLOCK ACTUAL AVE ERROR
1 1.65 1.65 0
2 1.65 1.65 0
3 1.65 1.65 1.21667e-08
4 1.65 1.65 0
5 1.65 1.65 0
6 1.65 1.65 8.60319e-09
7 1.65 1.65 7.96501e-09
8 1.65 1.65 7.45058e-09
9 1.65 1.65 7.02447e-09
10 1.65 1.65 6.664e-09
11 1.65 1.65 6.35388e-09
12 1.65 1.65 6.08337e-09
13 1.65 1.65 5.84472e-09
14 1.65 1.65 5.63211e-09
15 1.65 1.65 7.69493e-09
16 1.65 1.65 7.45058e-09
17 1.65 1.65 7.22812e-09
18 1.65 1.65 7.02447e-09
19 1.65 1.65 9.66915e-09
20 1.65 1.65 9.42432e-09
21 1.65 1.65 6.5034e-09
22 1.65 1.65 6.35388e-09
23 1.65 1.65 4.39411e-09
24 1.65 1.65 4.30159e-09
25 1.65 1.65 4.21468e-09
26 1.65 1.65 4.13284e-09
27 1.65 1.65 5.73546e-09
28 1.65 1.65 5.63211e-09
29 1.65 1.65 5.53415e-09
30 1.65 1.65 5.44113e-09
31 1.65 1.65 7.5698e-09
32 1.65 1.65 7.45058e-09
33 1.65 1.65 7.33682e-09
34 1.65 1.65 7.22812e-09
35 1.65 1.65 8.72523e-09
36 1.65 1.65 8.60319e-09
37 1.65 1.65 8.48613e-09
38 1.65 1.65 8.37373e-09
39 1.65 1.65 8.26568e-09
40 1.65 1.65 6.664e-09
41 1.65 1.65 4.65434e-09
42 1.65 1.65 4.5986e-09
43 1.65 1.65 3.21367e-09
44 1.65 1.65 3.17694e-09
45 1.65 1.65 3.14144e-09
46 1.65 1.65 3.10711e-09
47 1.65 1.65 4.34712e-09
48 1.65 1.65 4.30159e-09
49 1.65 1.65 4.25747e-09
50 1.65 1.65 5.96046e-09
