#BLOCK ACTUAL AVE ERROR
1 -5.04971 -5.04971 0
2 -5.02366 -5.03669 0.00921245
3 -5.01624 -5.02987 0.00828714
4 -5.02399 -5.0284 0.00634437
5 -5.03773 -5.03027 0.00534251
6 -5.0157 -5.02784 0.00497306
7 -5.03021 -5.02818 0.00427409
8 -5.03253 -5.02872 0.00377435
9 -5.02857 -5.0287 0.00335502
10 -5.06299 -5.03213 0.00443803
11 -5.03562 -5.03245 0.00404587
12 -5.04677 -5.03364 0.0038806
13 -5.0189 -5.03251 0.00374419
14 -5.03383 -5.0326 0.00347793
15 -5.05973 -5.03441 0.00368643
16 -5.03564 -5.03449 0.00345682
17 -5.03293 -5.0344 0.00325469
18 -5.01589 -5.03337 0.00323217
19 -5.04671 -5.03407 0.00313742
20 -5.02176 -5.03345 0.00304032
21 -5.02732 -5.03316 0.00290956
22 -5.05306 -5.03407 0.00291452
23 -5.05339 -5.03491 0.00290641
24 -5.03122 -5.03475 0.00278937
25 -5.03911 -5.03493 0.00268323
26 -5.05517 -5.03571 0.00269062
27 -5.08145 -5.0374 0.00307855
28 -5.04817 -5.03779 0.00299253
29 -5.0584 -5.0385 0.00297255
30 -5.03582 -5.03841 0.0028748
31 -5.06143 -5.03915 0.00287641
32 -5.01474 -5.03839 0.00288589
33 -5.01488 -5.03767 0.00288502
34 -5.0462 -5.03793 0.00281105
35 -5.01604 -5.0373 0.00279944
36 -4.99262 -5.03606 0.00298412
37 -5.05695 -5.03662 0.00295642
38 -5.04729 -5.0369 0.00289192
39 -5.04295 -5.03706 0.00282192
40 -5.05351 -5.03747 0.00278117
41 -5.02204 -5.03709 0.0027387
42 -5.03363 -5.03701 0.00267473
43 -5.04359 -5.03716 0.0026169
44 -5.00037 -5.03633 0.00268769
45 -5.05659 -5.03678 0.00266541
46 -5.02289 -5.03648 0.00262452
47 -5.0637 -5.03706 0.00263181
48 -5.05311 -5.03739 0.00259815
49 -5.05244 -5.0377 0.00256321
50 -5.02721 -5.03749 0.00252051
