#BLOCK ACTUAL AVE ERROR
1 0.889828 0.889828 0
2 0.891243 0.890536 0.000500329
3 0.891366 0.890812 0.00040292
4 0.89059 0.890757 0.000306001
5 0.88992 0.89059 0.000286922
6 0.891011 0.89066 0.000247542
7 0.890325 0.890612 0.000216738
8 0.890193 0.89056 0.000195866
9 0.890459 0.890548 0.000174422
10 0.889111 0.890405 0.00020792
11 0.890226 0.890389 0.000189651
12 0.88962 0.890324 0.000184344
13 0.8909 0.890369 0.00017539
14 0.890347 0.890367 0.000162869
15 0.889565 0.890314 0.000160551
16 0.890351 0.890316 0.000150533
17 0.8904 0.890321 0.00014176
18 0.89111 0.890365 0.000140498
19 0.889362 0.890312 0.000142667
20 0.891011 0.890347 0.000139754
21 0.890649 0.890361 0.000133837
22 0.889553 0.890325 0.0001327
23 0.88977 0.890301 0.000129101
24 0.89029 0.8903 0.000123723
25 0.890291 0.8903 0.000118774
26 0.889282 0.890261 0.000120482
27 0.888077 0.89018 0.000140568
28 0.889657 0.890161 0.000136783
29 0.889214 0.890128 0.000135909
30 0.890319 0.890135 0.000131528
31 0.889137 0.890103 0.000131165
32 0.891613 0.89015 0.000135287
33 0.891017 0.890176 0.000133714
34 0.88977 0.890164 0.000130314
35 0.891473 0.890202 0.00013185
36 0.892129 0.890255 0.00013863
37 0.889105 0.890224 0.000138326
38 0.889443 0.890203 0.000136204
39 0.88991 0.890196 0.000132918
40 0.889491 0.890178 0.00013076
41 0.891098 0.890201 0.000129479
42 0.890426 0.890206 0.000126508
43 0.8898 0.890197 0.000123917
44 0.892121 0.89024 0.000128586
45 0.889387 0.890221 0.000127118
46 0.891007 0.890238 0.000125496
47 0.888518 0.890202 0.000128052
48 0.889281 0.890183 0.000126813
49 0.889868 0.890176 0.000124388
50 0.890567 0.890184 0.000122146
