#BLOCK ACTUAL AVE ERROR
1 -134.681 -134.681 0
2 -133.977 -134.329 0.248736
3 -133.777 -134.145 0.223753
4 -133.986 -134.105 0.171298
5 -134.357 -134.156 0.144248
6 -133.762 -134.09 0.134273
7 -134.154 -134.099 0.1154
8 -134.217 -134.114 0.101908
9 -134.11 -134.113 0.0905856
10 -135.039 -134.206 0.119827
11 -134.3 -134.215 0.109238
12 -134.601 -134.247 0.104776
13 -133.849 -134.216 0.101093
14 -134.252 -134.219 0.0939041
15 -134.951 -134.268 0.0995335
16 -134.301 -134.27 0.0933341
17 -134.228 -134.267 0.0878767
18 -133.767 -134.239 0.0872686
19 -134.6 -134.258 0.0847104
20 -133.926 -134.242 0.0820886
21 -134.076 -134.234 0.078558
22 -134.771 -134.258 0.078692
23 -134.78 -134.281 0.078473
24 -134.181 -134.277 0.0753131
25 -134.394 -134.281 0.0724473
26 -134.828 -134.303 0.0726467
27 -135.538 -134.348 0.0831208
28 -134.639 -134.359 0.0807983
29 -134.915 -134.378 0.0802589
30 -134.306 -134.375 0.0776197
31 -134.997 -134.395 0.0776631
32 -133.736 -134.375 0.0779191
33 -133.74 -134.356 0.0778956
34 -134.586 -134.362 0.0758983
35 -133.771 -134.346 0.075585
36 -133.139 -134.312 0.0805711
37 -134.876 -134.327 0.0798234
38 -134.615 -134.335 0.0780818
39 -134.498 -134.339 0.0761919
40 -134.783 -134.35 0.0750917
41 -133.933 -134.34 0.0739448
42 -134.246 -134.338 0.0722178
43 -134.515 -134.342 0.0706563
44 -133.349 -134.319 0.0725676
45 -134.866 -134.331 0.0719661
46 -133.956 -134.323 0.0708622
47 -135.058 -134.339 0.0710589
48 -134.772 -134.348 0.07015
49 -134.754 -134.356 0.0692068
50 -134.073 -134.351 0.0680539
