DISTANCE AVE ERROR
0.064633 0 0
0.129266 0 0
0.193899 0 0
0.258532 0 0
0.323165 0 0
0.387798 0 0
0.452431 0 0
0.517064 0 0
0.581697 0 0
0.64633 0 0
0.710963 0 0
0.775596 0 0
0.84023 0 0
0.904863 0.000815844 3.04074e-05
0.969496 0.130112 0.000432778
1.03413 0.93795 0.00154723
1.09876 1.81123 0.00217825
1.16339 2.03011 0.00220069
1.22803 1.87977 0.0017641
1.29266 1.6559 0.00155493
1.35729 1.46837 0.00143291
1.42193 1.32684 0.00145184
1.48656 1.22345 0.000709562
1.55119 1.14715 0.000990763
1.61583 1.09443 0.0007652
1.68046 1.05871 0.0006883
1.74509 1.03206 0.00101979
1.80973 1.01357 0.000745758
1.87436 1.00286 0.000755302
1.93899 0.995745 0.000572622
2.00362 0.9928 0.000611564
2.06826 0.992829 0.000779304
2.13289 0.992914 0.000583514
2.19752 0.990964 0.000856253
2.26216 0.988414 0.000577189
2.32679 0.985555 0.000590989
2.39142 0.982243 0.000586972
2.45606 0.978714 0.000572825
2.52069 0.973826 0.000506263
2.58532 0.970788 0.000488333
2.64995 0.968307 0.000539047
2.71459 0.966519 0.000464001
2.77922 0.964444 0.00044076
2.84385 0.961971 0.000322322
2.90849 0.961058 0.000348921
2.97312 0.960575 0.000463081
3.03775 0.95897 0.000360306
3.10239 0.959244 0.000393108
3.16702 0.958372 0.00026318
3.23165 0.958144 0.000345392
3.29629 0.958208 0.000460294
3.36092 0.958165 0.000430346
3.42555 0.9573 0.00030626
3.49018 0.957955 0.000415231
3.55482 0.957948 0.000261268
3.61945 0.957495 0.000271739
3.68408 0.95723 0.000341698
3.74872 0.957597 0.000346774
3.81335 0.956838 0.000248089
3.87798 0.957682 0.000299597
3.94262 0.95767 0.000399789
4.00725 0.958223 0.000296815
4.07188 0.958511 0.000387829
4.13651 0.958216 0.000293969
4.20115 0.958904 0.000214373
4.26578 0.958777 0.000311304
4.33041 0.958932 0.000248723
4.39505 0.958762 0.000249794
4.45968 0.959581 0.000286656
4.52431 0.959831 0.000309474
4.58895 0.960012 0.000223853
4.65358 0.959996 0.000241631
4.71821 0.960286 0.000310516
4.78285 0.960431 0.000236333
4.84748 0.960624 0.000216903
4.91211 0.960704 0.000294728
4.97674 0.961695 0.000237977
5.04138 0.961493 0.000214765
5.10601 0.961851 0.000238918
5.17064 0.962453 0.000276288
5.23528 0.962049 0.000277032
5.29991 0.963286 0.000276908
5.36454 0.962914 0.000258403
5.42918 0.962949 0.000193314
5.49381 0.963622 0.00019048
5.55844 0.963317 0.000220101
5.62307 0.963771 0.000248897
5.68771 0.963639 0.000242345
5.75234 0.96421 0.000238476
5.81697 0.964088 0.000265685
5.88161 0.965029 0.000214592
5.94624 0.964647 0.000174438
6.01087 0.96478 0.000179625
6.07551 0.965041 0.000173868
6.14014 0.965215 0.000192175
6.20477 0.965348 0.000247238
6.2694 0.966113 0.000192891
6.33404 0.965903 0.000220488
6.39867 0.966154 0.000152599
6.4633 0.966103 0.000205838
