#BLOCK ACTUAL AVE ERROR
1 -0.101626 -0.101626 0
2 -0.104877 -0.103251 0.00114942
3 -0.10203 -0.102844 0.000835253
4 -0.104129 -0.103165 0.000685407
5 -0.105306 -0.103593 0.000668767
6 -0.106004 -0.103995 0.000667137
7 -0.102075 -0.103721 0.00062568
8 -0.101585 -0.103454 0.000601727
9 -0.0981464 -0.102864 0.000771506
10 -0.104449 -0.103023 0.000710448
11 -0.0986791 -0.102628 0.000747586
12 -0.0971176 -0.102169 0.000814184
13 -0.103027 -0.102235 0.000754228
14 -0.101087 -0.102153 0.000704793
15 -0.0997343 -0.101992 0.000675996
16 -0.104593 -0.102154 0.000653008
17 -0.101156 -0.102095 0.000617232
18 -0.105547 -0.102287 0.000611996
19 -0.106167 -0.102491 0.000612909
20 -0.101163 -0.102425 0.000585851
