#BLOCK ACTUAL AVE ERROR
1 0.00945353 0.00945353 0
2 0.00983983 0.00964668 0.000136577
3 0.00939405 0.00956247 0.000114096
4 0.00981073 0.00962453 0.000101052
5 0.00990654 0.00968093 9.52903e-05
6 0.0100923 0.0097495 0.000101113
7 0.00940794 0.00970071 9.77348e-05
8 0.00938172 0.00966083 9.32979e-05
9 0.00868901 0.00955285 0.000131309
10 0.00988026 0.00958559 0.000122191
11 0.00885139 0.00951885 0.000128021
12 0.008625 0.00944436 0.000137323
13 0.00958919 0.0094555 0.000127211
14 0.0092801 0.00944297 0.00011874
15 0.0090807 0.00941882 0.000113253
16 0.00982906 0.00944446 0.000109039
17 0.00930451 0.00943623 0.000102935
18 0.0100341 0.00946944 0.000102435
19 0.0100663 0.00950085 0.000101746
20 0.0092589 0.00948876 9.73751e-05
