#BLOCK ACTUAL AVE ERROR
1 1.39027 1.39027 0
2 1.38827 1.38927 0.000704507
3 1.38882 1.38912 0.000485449
4 1.38957 1.38923 0.000376994
5 1.38904 1.38919 0.000303649
6 1.38925 1.3892 0.000253203
7 1.38909 1.38919 0.000217555
8 1.39115 1.38943 0.00029796
9 1.38821 1.3893 0.000294175
10 1.38967 1.38933 0.000267127
11 1.38894 1.3893 0.000245229
12 1.38895 1.38927 0.00022652
13 1.3895 1.38929 0.000209792
14 1.3905 1.38937 0.000212009
15 1.38952 1.38938 0.000198113
16 1.38776 1.38928 0.000210004
17 1.39053 1.38935 0.000210017
18 1.39006 1.38939 0.00020195
19 1.38908 1.38938 0.00019198
20 1.3889 1.38935 0.000183836
