DISTANCE AVE ERROR
0.064633 0 0
0.129266 0 0
0.193899 0 0
0.258532 0 0
0.323165 0 0
0.387798 0 0
0.452431 0 0
0.517064 0 0
0.581697 0 0
0.64633 0 0
0.710963 0 0
0.775596 0 0
0.84023 0 0
0.904863 0.00192751 0.000280819
0.969496 0.167157 0.00153168
1.03413 0.895117 0.0103491
1.09876 1.5487 0.0314265
1.16339 1.71042 0.0336471
1.22803 1.60705 0.0301989
1.29266 1.47026 0.0286541
1.35729 1.32384 0.0251906
1.42193 1.22326 0.0166484
1.48656 1.14632 0.012397
1.55119 1.10082 0.00641602
1.61583 1.05002 0.00873646
1.68046 1.0199 0.0126627
1.74509 0.998543 0.00492199
1.80973 0.988367 0.00397536
1.87436 0.975105 0.00272901
1.93899 0.968268 0.00904846
2.00362 0.965353 0.00489125
2.06826 0.957044 0.00497699
2.13289 0.959225 0.00389939
2.19752 0.970402 0.00523347
2.26216 0.96594 0.00647403
2.32679 0.96563 0.00689229
2.39142 0.964748 0.00487692
2.45606 0.965688 0.00815237
2.52069 0.958268 0.00963494
2.58532 0.962115 0.00807915
2.64995 0.958991 0.00533837
2.71459 0.949122 0.00758877
2.77922 0.95712 0.0059928
2.84385 0.951867 0.00297329
2.90849 0.955288 0.00530214
2.97312 0.954091 0.00466203
3.03775 0.948146 0.00237863
3.10239 0.952924 0.00378107
3.16702 0.954169 0.00332328
3.23165 0.957215 0.00301385
3.29629 0.959715 0.00263714
3.36092 0.959305 0.00276781
3.42555 0.953734 0.002131
3.49018 0.95315 0.0030405
3.55482 0.951274 0.00300787
3.61945 0.951808 0.00416438
3.68408 0.954614 0.00402576
3.74872 0.957585 0.00425945
3.81335 0.953681 0.00333351
3.87798 0.958967 0.00230741
3.94262 0.954379 0.00276259
4.00725 0.949948 0.00255429
4.07188 0.950852 0.00397212
4.13651 0.954961 0.00407598
4.20115 0.954672 0.00334528
4.26578 0.955846 0.00329081
4.33041 0.957065 0.00365619
4.39505 0.957147 0.00471033
4.45968 0.95329 0.0047843
4.52431 0.953553 0.00356576
4.58895 0.962841 0.00327794
4.65358 0.960495 0.00329379
4.71821 0.958587 0.00329299
4.78285 0.957772 0.00432612
4.84748 0.958993 0.00459407
4.91211 0.961403 0.0020966
4.97674 0.961124 0.000916531
5.04138 0.957699 0.00194044
5.10601 0.956226 0.00105566
5.17064 0.95823 0.00180937
5.23528 0.957938 0.00208698
5.29991 0.962993 0.00306767
5.36454 0.963272 0.00313067
5.42918 0.963519 0.00238811
5.49381 0.964215 0.00202298
5.55844 0.962254 0.00428517
5.62307 0.967805 0.00349573
5.68771 0.969477 0.00229651
5.75234 0.96427 0.00239575
5.81697 0.964912 0.00209844
5.88161 0.967561 0.00239795
5.94624 0.964799 0.00243189
6.01087 0.96598 0.00209417
6.07551 0.966217 0.00202159
6.14014 0.964743 0.00172799
6.20477 0.965518 0.00210732
6.2694 0.969667 0.00162644
6.33404 0.967787 0.00146594
6.39867 0.968036 0.00209737
6.4633 0.96851 0.00152216
