DISTANCE AVE ERROR
0.0256496 0 0
0.0512993 0 0
0.0769489 0 0
0.102599 0 0
0.128248 0 0
0.153898 0 0
0.179547 0 0
0.205197 0 0
0.230847 0 0
0.256496 0 0
0.282146 0 0
0.307796 0 0
0.333445 0 0
0.359095 0 0
0.384745 0 0
0.410394 0 0
0.436044 0 0
0.461694 0 0
0.487343 0 0
0.512993 0 0
0.538642 0 0
0.564292 0 0
0.589942 0 0
0.615591 0 0
0.641241 0 0
0.666891 0 0
0.69254 0 0
0.71819 0 0
0.74384 0 0
0.769489 0 0
0.795139 0 0
0.820788 0 0
0.846438 0 0
0.872088 1.46728e-05 1.94103e-06
0.897737 0.00120875 2.45622e-05
0.923387 0.0229375 0.00010387
0.949037 0.156192 0.000373446
0.974686 0.535277 0.000690011
1.00034 1.14136 0.00138344
1.02599 1.77175 0.00141112
1.05164 2.22543 0.00108906
1.07728 2.43449 0.000569713
1.10293 2.43318 0.00102061
1.12858 2.30142 0.00111042
1.15423 2.1053 0.00103066
1.17988 1.88845 0.000996801
1.20553 1.68211 0.000890131
1.23118 1.49525 0.000881645
1.25683 1.33358 0.000978932
1.28248 1.19585 0.000827646
1.30813 1.08127 0.000692354
1.33378 0.985176 0.000601857
1.35943 0.906045 0.000734302
1.38508 0.84153 0.000597348
1.41073 0.788778 0.000482504
1.43638 0.74675 0.000463345
1.46203 0.712926 0.000365604
1.48768 0.687089 0.000410956
1.51333 0.667952 0.000441501
1.53898 0.656721 0.000428973
1.56463 0.649991 0.000414649
1.59028 0.649534 0.000377019
1.61593 0.654283 0.000460898
1.64158 0.664264 0.000433632
1.66723 0.680245 0.000424787
1.69288 0.701127 0.000554499
1.71853 0.726676 0.000525394
1.74418 0.756758 0.000485461
1.76983 0.791834 0.00038698
1.79547 0.829342 0.000480458
1.82112 0.868897 0.000542301
1.84677 0.910239 0.000521998
1.87242 0.95103 0.000398794
1.89807 0.9917 0.000541721
1.92372 1.03025 0.000443238
1.94937 1.06735 0.000413467
1.97502 1.10096 0.000369462
2.00067 1.13169 0.000400414
2.02632 1.15581 0.000370091
2.05197 1.17397 0.000475222
2.07762 1.18462 0.000361796
2.10327 1.18669 0.000472478
2.12892 1.1805 0.000511466
2.15457 1.16744 0.000495983
2.18022 1.14792 0.000446389
2.20587 1.12514 0.000528568
2.23152 1.09852 0.000546934
2.25717 1.07107 0.000523677
2.28282 1.04277 0.000447702
2.30847 1.01564 0.000426861
2.33412 0.990467 0.000446144
2.35977 0.966611 0.000433903
2.38542 0.945508 0.000309295
2.41107 0.927292 0.00045699
2.43672 0.911515 0.000404123
2.46237 0.899418 0.00028553
2.48802 0.890055 0.000359636
2.51366 0.876517 0.000343323
2.53931 0.867609 0.000375568
2.56496 0.867577 0.000304944
