#BLOCK ACTUAL AVE ERROR
1 -2.62425 -2.62425 0
2 -2.43154 -2.52789 0.0681313
3 -3.2881 -2.7813 0.211828
4 -3.56591 -2.97745 0.232588
5 -2.27686 -2.83733 0.224341
6 -3.76675 -2.99223 0.234406
7 -1.90046 -2.83627 0.247425
8 -3.21309 -2.88337 0.220935
9 -1.79167 -2.76207 0.227259
10 -3.54828 -2.84069 0.217708
11 -2.34049 -2.79522 0.20261
12 -2.36489 -2.75936 0.188873
13 -3.39304 -2.8081 0.180525
14 -2.73101 -2.8026 0.167714
15 -2.5154 -2.78345 0.157622
16 -2.93155 -2.79271 0.148042
17 -1.28623 -2.70409 0.163722
18 -1.29059 -2.62556 0.172434
19 -1.86506 -2.58554 0.167939
20 -1.85985 -2.54925 0.163415
