#BLOCK ACTUAL AVE ERROR
1 -0.0241205 -0.0241205 0
2 -0.0983434 -0.0612319 0.0262418
3 0.226244 0.0345934 0.0801731
4 0.334591 0.109593 0.0885114
5 -0.153825 0.0569092 0.0850551
6 0.409149 0.115616 0.0888591
7 -0.298537 0.0564512 0.0938163
8 0.200367 0.0744407 0.0837962
9 -0.337319 0.0286897 0.0860737
10 0.328529 0.0586736 0.0825237
11 -0.131725 0.0413646 0.0768153
12 -0.121374 0.0278031 0.0716012
13 0.269007 0.0463572 0.0684552
14 0.0173934 0.0442884 0.0635968
15 -0.0654414 0.0369731 0.0597763
16 0.0945223 0.0405699 0.0561483
17 -0.531459 0.00692114 0.0621151
18 -0.528521 -0.0228256 0.0654003
19 -0.311735 -0.0380314 0.0637014
20 -0.311749 -0.0517173 0.0619691
