#BLOCK ACTUAL AVE ERROR
1 -3.38651 -3.38651 0
2 -3.39299 -3.38975 0.0022898
3 -3.3907 -3.39007 0.00154824
4 -3.38395 -3.38854 0.00176196
5 -3.37758 -3.38635 0.00241379
6 -3.38887 -3.38677 0.00204788
7 -3.38953 -3.38716 0.0017929
8 -3.38475 -3.38686 0.00159399
9 -3.37965 -3.38606 0.00160568
10 -3.38315 -3.38577 0.00147115
11 -3.39315 -3.38644 0.00148255
12 -3.38147 -3.38603 0.00141565
13 -3.38302 -3.38579 0.00132547
14 -3.38745 -3.38591 0.00123606
15 -3.39057 -3.38622 0.00119199
16 -3.38772 -3.38632 0.00112114
17 -3.38847 -3.38644 0.00106233
18 -3.38427 -3.38632 0.00101012
19 -3.38832 -3.38643 0.000962404
20 -3.38637 -3.38642 0.000914288
