DISTANCE AVE ERROR
0.0256496 0 0
0.0512993 0 0
0.0769489 0 0
0.102599 0 0
0.128248 0 0
0.153898 0 0
0.179547 0 0
0.205197 0 0
0.230847 0 0
0.256496 0 0
0.282146 0 0
0.307796 0 0
0.333445 0 0
0.359095 0 0
0.384745 0 0
0.410394 0 0
0.436044 0 0
0.461694 0 0
0.487343 0 0
0.512993 0 0
0.538642 0 0
0.564292 0 0
0.589942 0 0
0.615591 0 0
0.641241 0 0
0.666891 0 0
0.69254 0 0
0.71819 0 0
0.74384 0 0
0.769489 0 0
0.795139 0 0
0.820788 0 0
0.846438 0 0
0.872088 9.72075e-06 4.16043e-06
0.897737 0.00133798 5.81354e-05
0.923387 0.0243388 0.000290913
0.949037 0.167156 0.00117691
0.974686 0.554507 0.00158163
1.00034 1.16931 0.0022215
1.02599 1.79798 0.00311341
1.05164 2.23857 0.00376513
1.07728 2.44084 0.0040599
1.10293 2.43041 0.00321859
1.12858 2.28564 0.00309415
1.15423 2.09047 0.00316558
1.17988 1.87364 0.00268571
1.20553 1.66978 0.00395327
1.23118 1.47884 0.00292969
1.25683 1.31848 0.00328502
1.28248 1.18276 0.00353557
1.30813 1.07263 0.00230325
1.33378 0.983927 0.00197644
1.35943 0.903734 0.00195744
1.38508 0.838596 0.00195497
1.41073 0.784336 0.0017134
1.43638 0.740552 0.00254744
1.46203 0.707842 0.00266214
1.48768 0.6844 0.00196903
1.51333 0.669155 0.00175294
1.53898 0.658507 0.00224392
1.56463 0.650561 0.00165113
1.59028 0.651097 0.00149635
1.61593 0.657955 0.00154792
1.64158 0.67036 0.00147527
1.66723 0.686369 0.00149267
1.69288 0.707357 0.0013356
1.71853 0.734821 0.00135962
1.74418 0.764236 0.00141196
1.76983 0.800551 0.00149552
1.79547 0.838121 0.00204324
1.82112 0.876122 0.00192007
1.84677 0.91588 0.00197712
1.87242 0.956561 0.00209977
1.89807 0.995684 0.00201472
1.92372 1.03488 0.00197994
1.94937 1.06929 0.00194793
1.97502 1.10241 0.00218217
2.00067 1.13341 0.00155813
2.02632 1.15613 0.00156676
2.05197 1.17186 0.00192143
2.07762 1.18097 0.00166617
2.10327 1.18244 0.0017354
2.12892 1.17557 0.0015765
2.15457 1.16327 0.00126295
2.18022 1.14325 0.00156861
2.20587 1.11679 0.00156332
2.23152 1.09157 0.00164529
2.25717 1.06345 0.00181337
2.28282 1.03708 0.00161485
2.30847 1.00747 0.00112778
2.33412 0.982627 0.00163587
2.35977 0.958738 0.00174226
2.38542 0.938736 0.00195871
2.41107 0.923371 0.00161507
2.43672 0.90777 0.00204762
2.46237 0.893711 0.00158275
2.48802 0.885341 0.00149952
2.51366 0.879145 0.00124147
2.53931 0.875996 0.000926337
2.56496 0.877203 0.00134395
