#BLOCK ACTUAL AVE ERROR
1 1.6707 1.6707 0
2 1.66423 1.66746 0.00228602
3 1.66279 1.66591 0.00198495
4 1.67474 1.66811 0.00242389
5 1.65921 1.66633 0.00250943
6 1.66036 1.66534 0.00228003
7 1.66732 1.66562 0.00197181
8 1.65399 1.66417 0.00219719
9 1.65727 1.6634 0.00208246
10 1.66068 1.66313 0.00189197
11 1.67152 1.66389 0.00186757
12 1.66905 1.66432 0.0017607
13 1.66233 1.66417 0.00163191
14 1.67597 1.66501 0.00171943
15 1.66522 1.66503 0.00160486
16 1.66728 1.66517 0.00151075
17 1.66552 1.66519 0.00142203
18 1.65763 1.66477 0.00140369
19 1.66166 1.6646 0.00133933
20 1.66891 1.66482 0.00128959
