#BLOCK ACTUAL AVE ERROR
1 -4.71681 -4.71681 0
2 -3.03971 -3.87826 0.592945
3 -2.94398 -3.56684 0.470019
4 -4.31071 -3.75281 0.387562
5 -2.37988 -3.47822 0.395535
6 -2.84772 -3.37314 0.343288
7 -2.40094 -3.23425 0.321115
8 -5.00078 -3.45507 0.348729
9 -2.27458 -3.3239 0.333738
10 -3.7107 -3.36258 0.302598
11 -3.24755 -3.35213 0.275269
12 -4.78718 -3.47171 0.277092
13 -3.75247 -3.49331 0.256617
14 -5.01853 -3.60225 0.260388
15 -3.65694 -3.6059 0.243055
16 -0.753447 -3.42762 0.285865
17 -0.563893 -3.25917 0.314794
18 -0.469668 -3.1042 0.333276
19 -2.41363 -3.06785 0.31771
20 -2.64865 -3.04689 0.302515
