#BLOCK ACTUAL AVE ERROR
1 0.788014 0.788014 0
2 0.144624 0.466319 0.227473
3 0.108089 0.346909 0.180286
4 0.632772 0.418375 0.148706
5 -0.108357 0.313028 0.151759
6 0.0705297 0.272612 0.131738
7 -0.100215 0.219351 0.123215
8 0.894938 0.303799 0.133656
9 -0.148743 0.253517 0.127914
10 0.401183 0.268283 0.115972
11 0.225319 0.264378 0.105495
12 0.814481 0.310219 0.106198
13 0.417066 0.318438 0.0983462
14 0.903876 0.360255 0.0998166
15 0.38117 0.36165 0.0931719
16 -0.730879 0.293367 0.109549
17 -0.803641 0.228837 0.120622
18 -0.839708 0.169473 0.127696
19 -0.0948816 0.15556 0.121731
20 -0.00501931 0.147531 0.115909
