#BLOCK ACTUAL AVE ERROR
1 1.1138 1.1138 0
2 1.10949 1.11164 0.00152401
3 1.10853 1.1106 0.0013233
4 1.11649 1.11208 0.00161593
5 1.10614 1.11089 0.00167295
6 1.10691 1.11023 0.00152002
7 1.11155 1.11041 0.00131454
8 1.10266 1.10945 0.00146479
9 1.10485 1.10893 0.00138831
10 1.10712 1.10875 0.00126131
11 1.11435 1.10926 0.00124505
12 1.1127 1.10955 0.0011738
13 1.10822 1.10945 0.00108794
14 1.11732 1.11001 0.00114628
15 1.11015 1.11002 0.0010699
16 1.11152 1.11011 0.00100717
17 1.11035 1.11013 0.000948019
18 1.10508 1.10985 0.000935795
19 1.10777 1.10974 0.000892888
20 1.11261 1.10988 0.000859728
