#BLOCK ACTUAL AVE ERROR
1 -3.34747 -3.34747 0
2 -3.34669 -3.34708 0.000277651
3 -3.3466 -3.34692 0.00022673
4 -3.34639 -3.34679 0.000204448
5 -3.34638 -3.34671 0.000178942
6 -3.34683 -3.34673 0.000150366
7 -3.34687 -3.34675 0.000130242
8 -3.3468 -3.34675 0.000114098
9 -3.34646 -3.34672 0.000105937
10 -3.34725 -3.34677 0.000107899
11 -3.34643 -3.34674 0.000102612
12 -3.34717 -3.34678 0.000100155
13 -3.34705 -3.3468 9.45616e-05
14 -3.34723 -3.34683 9.27076e-05
15 -3.34644 -3.3468 9.01121e-05
16 -3.34675 -3.3468 8.45355e-05
17 -3.34663 -3.34679 8.01466e-05
18 -3.34642 -3.34677 7.83494e-05
19 -3.34596 -3.34673 8.51438e-05
20 -3.34681 -3.34673 8.09828e-05
