DISTANCE AVE ERROR
0.0230664 0 0
0.0461329 0 0
0.0691993 0 0
0.0922657 0 0
0.115332 0 0
0.138399 0 0
0.161465 0 0
0.184531 0 0
0.207598 0 0
0.230664 0 0
0.253731 0 0
0.276797 0 0
0.299864 0 0
0.32293 0 0
0.345996 0 0
0.369063 0 0
0.392129 0 0
0.415196 0 0
0.438262 0 0
0.461329 0 0
0.484395 0 0
0.507461 0 0
0.530528 0 0
0.553594 0 0
0.576661 0 0
0.599727 0 0
0.622794 0 0
0.64586 0 0
0.668926 0 0
0.691993 0 0
0.715059 0 0
0.738126 0 0
0.761192 0 0
0.784259 0 0
0.807325 0 0
0.830391 0 0
0.853458 0 0
0.876524 2.83807e-06 2.75333e-06
0.899591 9.23803e-05 1.69916e-05
0.922657 0.00340417 0.000133538
0.945724 0.0482331 0.00039384
0.96879 0.292045 0.00100415
0.991856 0.991196 0.00161599
1.01492 2.17918 0.00269226
1.03799 3.47574 0.00336157
1.06106 4.40253 0.0031142
1.08412 4.65006 0.0044499
1.10719 4.24952 0.0041473
1.13026 3.47616 0.00416605
1.15332 2.58322 0.0046727
1.17639 1.75775 0.00294637
1.19945 1.10459 0.00273345
1.22252 0.647465 0.001306
1.24559 0.352662 0.00161331
1.26865 0.179433 0.00123967
1.29172 0.0884697 0.00072304
1.31479 0.0497099 0.000531185
1.33785 0.0421748 0.000553159
1.36092 0.0601941 0.000625485
1.38399 0.105366 0.000910177
1.40705 0.18216 0.00132085
1.43012 0.295641 0.00130592
1.45319 0.442957 0.0013527
1.47625 0.60946 0.00129161
1.49932 0.76709 0.00170735
1.52238 0.884477 0.00165736
1.54545 0.933651 0.00226077
1.56852 0.895344 0.00252367
1.59158 0.780929 0.00165278
1.61465 0.624439 0.00166828
1.63772 0.457545 0.00107428
1.66078 0.31355 0.001248
1.68385 0.220284 0.00136931
1.70692 0.193425 0.00120486
1.72998 0.258087 0.0013767
1.75305 0.435146 0.00138927
1.77612 0.747139 0.00155852
1.79918 1.17701 0.00212333
1.82225 1.68336 0.00236545
1.84531 2.16785 0.0017105
1.86838 2.51319 0.00298733
1.89145 2.61931 0.00378089
1.91451 2.46913 0.00335793
1.93758 2.1166 0.00272347
1.96065 1.65018 0.00161086
1.98371 1.1815 0.00155525
2.00678 0.798891 0.00191937
2.02985 0.545812 0.00175328
2.05291 0.439179 0.00201379
2.07598 0.462335 0.0017336
2.09905 0.581826 0.00109274
2.12211 0.74151 0.000932359
2.14518 0.890396 0.000939181
2.16824 0.975541 0.00182663
2.19131 0.976506 0.00208524
2.21438 0.898689 0.00157467
2.23744 0.774036 0.000848798
2.26051 0.648011 0.00127076
2.28358 0.568836 0.00179272
2.30664 0.571195 0.0023365
