#BLOCK ACTUAL AVE ERROR
1 1.20005 1.20005 0
2 1.1987 1.19938 0.000476182
3 1.19982 1.19953 0.000340144
4 1.19813 1.19918 0.000395528
5 1.19981 1.1993 0.000336088
6 1.19774 1.19904 0.000367718
7 1.19983 1.19915 0.00033179
8 1.19979 1.19923 0.000299702
9 1.1985 1.19915 0.000277296
10 1.19819 1.19906 0.000265751
11 1.19875 1.19903 0.000243011
12 1.19857 1.19899 0.000225759
13 1.19848 1.19895 0.000211716
14 1.19956 1.19899 0.000200992
15 1.19845 1.19896 0.000190887
16 1.19996 1.19902 0.000188861
17 1.19884 1.19901 0.000178056
