#BLOCK ACTUAL AVE ERROR
1 -6.66314 -6.66314 0
2 -6.66168 -6.66241 0.000515857
3 -6.6628 -6.66254 0.000360263
4 -6.66116 -6.66219 0.000403752
5 -6.66282 -6.66232 0.000341674
6 -6.6609 -6.66208 0.000357587
7 -6.66301 -6.66221 0.000329955
8 -6.66267 -6.66227 0.000293664
9 -6.66157 -6.66219 0.000271233
10 -6.66072 -6.66205 0.000281409
11 -6.66145 -6.66199 0.000260945
12 -6.66175 -6.66197 0.00023997
13 -6.66187 -6.66196 0.000221635
14 -6.66262 -6.66201 0.000210723
15 -6.66176 -6.66199 0.000197361
16 -6.66331 -6.66208 0.000201325
17 -6.66183 -6.66206 0.000189986
