#BLOCK ACTUAL AVE ERROR
1 0.960788 0.960788 0
2 0.95983 0.960309 0.000338705
3 0.960566 0.960395 0.000236376
4 0.959399 0.960146 0.000279154
5 0.960603 0.960237 0.000237793
6 0.959166 0.960059 0.000256604
7 0.960598 0.960136 0.000231226
8 0.960579 0.960191 0.00020887
9 0.959669 0.960133 0.000193541
10 0.959528 0.960073 0.0001834
11 0.959859 0.960053 0.000167751
12 0.959709 0.960025 0.000156209
13 0.959633 0.959994 0.000147073
14 0.960401 0.960023 0.0001394
15 0.959669 0.96 0.000132095
16 0.960654 0.960041 0.000130009
17 0.959878 0.960031 0.000122711
