#BLOCK ACTUAL AVE ERROR
1 0.800033 0.800033 0
2 0.799135 0.799584 0.000317455
3 0.799883 0.799684 0.000226763
4 0.798753 0.799451 0.000263685
5 0.799873 0.799535 0.000224058
6 0.798491 0.799361 0.000245145
7 0.799884 0.799436 0.000221194
8 0.79986 0.799489 0.000199801
9 0.798999 0.799435 0.000184864
10 0.798793 0.799371 0.000177167
11 0.799169 0.799352 0.000162007
12 0.799046 0.799327 0.000150506
13 0.79899 0.799301 0.000141144
14 0.799706 0.79933 0.000133995
15 0.798964 0.799305 0.000127258
16 0.79997 0.799347 0.000125907
17 0.799225 0.79934 0.000118704
