#BLOCK ACTUAL AVE ERROR
1 -5.46309 -5.46309 0
2 -5.46298 -5.46303 3.96743e-05
3 -5.46298 -5.46302 3.03195e-05
4 -5.46303 -5.46302 2.28503e-05
5 -5.46301 -5.46302 1.83759e-05
6 -5.46316 -5.46304 2.6762e-05
7 -5.46318 -5.46306 2.94879e-05
8 -5.46288 -5.46304 3.30813e-05
9 -5.46307 -5.46304 2.95885e-05
10 -5.46253 -5.46299 5.54872e-05
11 -5.4627 -5.46296 5.63923e-05
12 -5.46318 -5.46298 5.45623e-05
13 -5.46339 -5.46301 5.85997e-05
14 -5.46306 -5.46302 5.45227e-05
15 -5.46331 -5.46304 5.42722e-05
16 -5.46335 -5.46306 5.43115e-05
17 -5.463 -5.46305 5.12305e-05
