DISTANCE AVE ERROR
0.0230664 0 0
0.0461329 0 0
0.0691993 0 0
0.0922657 0 0
0.115332 0 0
0.138399 0 0
0.161465 0 0
0.184531 0 0
0.207598 0 0
0.230664 0 0
0.253731 0 0
0.276797 0 0
0.299864 0 0
0.32293 0 0
0.345996 0 0
0.369063 0 0
0.392129 0 0
0.415196 0 0
0.438262 0 0
0.461329 0 0
0.484395 0 0
0.507461 0 0
0.530528 0 0
0.553594 0 0
0.576661 0 0
0.599727 0 0
0.622794 0 0
0.64586 0 0
0.668926 0 0
0.691993 0 0
0.715059 0 0
0.738126 0 0
0.761192 0 0
0.784259 0 0
0.807325 0 0
0.830391 0 0
0.853458 0 0
0.876524 0 0
0.899591 8.5423e-05 5.54747e-05
0.922657 0.00399887 0.000425216
0.945724 0.0488857 0.0015513
0.96879 0.304692 0.00364687
0.991856 1.03835 0.00580385
1.01492 2.27924 0.00891539
1.03799 3.66763 0.0131902
1.06106 4.60334 0.0123869
1.08412 4.83167 0.0146644
1.10719 4.39999 0.013871
1.13026 3.62968 0.0123755
1.15332 2.67026 0.00972516
1.17639 1.83653 0.00962873
1.19945 1.15043 0.00531159
1.22252 0.670588 0.00477273
1.24559 0.37063 0.00448194
1.26865 0.190862 0.00304769
1.29172 0.0961303 0.00220285
1.31479 0.0545947 0.00184366
1.33785 0.0468686 0.00201938
1.36092 0.0666505 0.0020292
1.38399 0.113067 0.00253732
1.40705 0.190664 0.00348698
1.43012 0.306399 0.00323801
1.45319 0.463823 0.00410506
1.47625 0.633105 0.00344726
1.49932 0.788889 0.00461884
1.52238 0.907372 0.00643793
1.54545 0.948606 0.00560818
1.56852 0.9062 0.00595228
1.59158 0.796954 0.00522036
1.61465 0.636809 0.00346462
1.63772 0.469233 0.00314793
1.66078 0.325329 0.00286312
1.68385 0.232154 0.00294339
1.70692 0.208118 0.00351769
1.72998 0.271256 0.00389958
1.75305 0.450457 0.00427396
1.77612 0.762002 0.00436335
1.79918 1.21391 0.00582501
1.82225 1.73151 0.0054302
1.84531 2.21664 0.00659621
1.86838 2.56382 0.00741699
1.89145 2.68538 0.00915974
1.91451 2.52671 0.00877174
1.93758 2.17485 0.00628434
1.96065 1.68391 0.00502335
1.98371 1.20386 0.00478714
2.00678 0.811284 0.00432933
2.02985 0.561982 0.00448355
2.05291 0.454263 0.00354719
2.07598 0.480319 0.00371367
2.09905 0.600126 0.00318914
2.12211 0.75969 0.00325944
2.14518 0.907371 0.00323804
2.16824 0.993945 0.00379863
2.19131 0.995827 0.00362895
2.21438 0.919493 0.00383163
2.23744 0.792922 0.00283182
2.26051 0.664768 0.00317586
2.28358 0.584472 0.00417691
2.30664 0.590409 0.00496721
