#BLOCK ACTUAL AVE ERROR
1 1.20402 1.20402 0
2 1.2028 1.20341 0.000429513
3 1.19584 1.20089 0.00208041
4 1.19636 1.19976 0.00184243
5 1.20934 1.20167 0.00226023
6 1.19301 1.20023 0.00229853
7 1.21448 1.20227 0.00272693
8 1.18643 1.20029 0.00302007
9 1.21135 1.20152 0.00292401
10 1.19481 1.20084 0.00270742
11 1.20044 1.20081 0.00246153
12 1.20677 1.20131 0.00230606
13 1.19662 1.20094 0.00215668
14 1.20354 1.20113 0.0020106
15 1.19552 1.20076 0.00191098
16 1.19875 1.20063 0.00179566
17 1.21291 1.20135 0.00182965
18 1.20037 1.2013 0.00172881
19 1.20322 1.2014 0.00164077
20 1.19811 1.20124 0.00156695
21 1.19693 1.20103 0.00150568
22 1.19203 1.20062 0.0014918
23 1.19605 1.20042 0.00144011
24 1.20074 1.20044 0.00138017
25 1.20639 1.20067 0.00134532
26 1.19131 1.20031 0.0013409
27 1.19871 1.20025 0.00129254
28 1.18979 1.19988 0.00129927
29 1.20414 1.20003 0.00126274
30 1.19729 1.19994 0.00122394
31 1.20248 1.20002 0.0011872
32 1.19209 1.19977 0.00117569
33 1.20855 1.20004 0.00116977
34 1.20249 1.20011 0.00113758
35 1.19074 1.19984 0.00113615
36 1.19491 1.1997 0.00111282
37 1.2094 1.19997 0.00111318
38 1.19604 1.19986 0.00108867
39 1.19509 1.19974 0.00106761
40 1.20047 1.19976 0.00104107
41 1.20353 1.19985 0.00101974
42 1.19949 1.19984 0.000995494
43 1.19251 1.19967 0.000986855
44 1.19236 1.19951 0.000978309
45 1.19552 1.19942 0.000960574
46 1.20812 1.19961 0.000958123
47 1.18736 1.19935 0.000972513
48 1.1986 1.19933 0.000952378
49 1.19241 1.19919 0.00094334
50 1.20005 1.19921 0.00092463
