#BLOCK ACTUAL AVE ERROR
1 -7.52883 -7.52883 0
2 -7.52694 -7.52788 0.00066955
3 -7.51975 -7.52517 0.00225694
4 -7.51989 -7.52385 0.00204273
5 -7.53313 -7.52571 0.00232965
6 -7.51663 -7.5242 0.0023825
7 -7.53947 -7.52638 0.00287248
8 -7.51017 -7.52435 0.00314801
9 -7.53451 -7.52548 0.00299373
10 -7.51808 -7.52474 0.00278433
11 -7.52379 -7.52465 0.00253253
12 -7.53063 -7.52515 0.00236993
13 -7.52077 -7.52481 0.00221151
14 -7.52719 -7.52498 0.00206007
15 -7.51976 -7.52464 0.00195198
16 -7.523 -7.52453 0.00183264
17 -7.53803 -7.52533 0.00188909
18 -7.52519 -7.52532 0.00178416
19 -7.52705 -7.52541 0.00169258
20 -7.52108 -7.52519 0.00162173
21 -7.52081 -7.52499 0.0015579
22 -7.51516 -7.52454 0.00154979
23 -7.52049 -7.52436 0.0014924
24 -7.5248 -7.52438 0.00143032
25 -7.53164 -7.52467 0.00140231
26 -7.51523 -7.52431 0.00139459
27 -7.52272 -7.52425 0.00134417
28 -7.51452 -7.5239 0.00134034
29 -7.52834 -7.52406 0.00130281
30 -7.52105 -7.52395 0.00126324
31 -7.52708 -7.52406 0.00122651
32 -7.51508 -7.52378 0.00121982
33 -7.53232 -7.52403 0.00121
34 -7.52632 -7.5241 0.00117628
35 -7.51498 -7.52384 0.00117116
36 -7.51813 -7.52368 0.00114934
37 -7.53375 -7.52395 0.00115005
38 -7.5209 -7.52387 0.0011226
39 -7.52056 -7.52379 0.00109703
40 -7.52423 -7.5238 0.00106966
41 -7.52896 -7.52393 0.00105094
42 -7.5234 -7.52391 0.00102599
43 -7.51663 -7.52374 0.00101603
44 -7.51691 -7.52359 0.00100473
45 -7.51904 -7.52349 0.000987473
46 -7.53169 -7.52367 0.000981993
47 -7.51163 -7.52341 0.000993903
48 -7.52251 -7.52339 0.000973375
49 -7.51764 -7.52327 0.000960548
50 -7.52444 -7.5233 0.000941621
