#BLOCK ACTUAL AVE ERROR
1 -0.757072 -0.757072 0
2 -0.757903 -0.757487 0.000293762
3 -0.762694 -0.759223 0.00143054
4 -0.762492 -0.76004 0.00128531
5 -0.753732 -0.758778 0.00152661
6 -0.764902 -0.759799 0.00157686
7 -0.750406 -0.758457 0.00183578
8 -0.769343 -0.759818 0.00204949
9 -0.752318 -0.758985 0.00198395
10 -0.763628 -0.759449 0.00183909
11 -0.759521 -0.759456 0.00167191
12 -0.755056 -0.759089 0.00157226
13 -0.762175 -0.759326 0.00146913
14 -0.757341 -0.759185 0.00137102
15 -0.762998 -0.759439 0.00130298
16 -0.760733 -0.75952 0.00122405
17 -0.750966 -0.759016 0.00125119
18 -0.759649 -0.759052 0.00118217
19 -0.757735 -0.758982 0.00112198
20 -0.761238 -0.759095 0.00107154
21 -0.762098 -0.759238 0.00103001
22 -0.765292 -0.759513 0.00101928
23 -0.762564 -0.759646 0.000983561
24 -0.759581 -0.759643 0.000942583
25 -0.755614 -0.759482 0.000918553
26 -0.765848 -0.759727 0.00091527
27 -0.760966 -0.759773 0.000882522
28 -0.766953 -0.760029 0.000887481
29 -0.75706 -0.759927 0.000862763
30 -0.761671 -0.759985 0.000835961
31 -0.758165 -0.759926 0.000811053
32 -0.765249 -0.760093 0.000802581
33 -0.754096 -0.759911 0.000798565
34 -0.758308 -0.759864 0.000776468
35 -0.766267 -0.760047 0.000775537
36 -0.763172 -0.760133 0.000758837
37 -0.753302 -0.759949 0.00076046
38 -0.762474 -0.760015 0.000743346
39 -0.763076 -0.760094 0.000728418
40 -0.759557 -0.76008 0.000710331
41 -0.757583 -0.760019 0.000695612
42 -0.760211 -0.760024 0.000679065
43 -0.765095 -0.760142 0.000673435
44 -0.765336 -0.76026 0.000668398
45 -0.762954 -0.76032 0.00065622
46 -0.754373 -0.760191 0.000654563
47 -0.76853 -0.760368 0.00066425
48 -0.760834 -0.760378 0.000650483
49 -0.76522 -0.760477 0.00064467
50 -0.76006 -0.760468 0.00063183
