#BLOCK ACTUAL AVE ERROR
1 0.802679 0.802679 0
2 0.801869 0.802274 0.000286342
3 0.797227 0.800592 0.00138694
4 0.797575 0.799838 0.00122829
5 0.806223 0.801115 0.00150682
6 0.795342 0.800153 0.00153235
7 0.809656 0.80151 0.00181796
8 0.790955 0.800191 0.00201338
9 0.807567 0.80101 0.00194934
10 0.79654 0.800563 0.00180494
11 0.800296 0.800539 0.00164102
12 0.804516 0.80087 0.00153737
13 0.797745 0.80063 0.00143779
14 0.802362 0.800754 0.0013404
15 0.797016 0.800504 0.00127399
16 0.799166 0.800421 0.00119711
17 0.80861 0.800903 0.00121976
18 0.800248 0.800866 0.00115254
19 0.802145 0.800933 0.00109384
20 0.798741 0.800824 0.00104463
21 0.797955 0.800687 0.00100378
22 0.794686 0.800414 0.000994532
23 0.797367 0.800282 0.000960075
24 0.800495 0.800291 0.000920112
25 0.804257 0.800449 0.000896881
26 0.794208 0.800209 0.000893931
27 0.799142 0.80017 0.000861696
28 0.793195 0.799921 0.000866178
29 0.80276 0.800019 0.000841826
30 0.798194 0.799958 0.00081596
31 0.801653 0.800013 0.000791468
32 0.794725 0.799847 0.000783794
33 0.805699 0.800025 0.000779844
34 0.801658 0.800073 0.000758386
35 0.793825 0.799894 0.000757433
36 0.796605 0.799803 0.000741882
37 0.806267 0.799978 0.000742118
38 0.79736 0.799909 0.000725777
39 0.796727 0.799827 0.000711738
40 0.800315 0.799839 0.000694049
41 0.802353 0.799901 0.000679824
42 0.799658 0.799895 0.000663662
43 0.795004 0.799781 0.000657903
44 0.794908 0.79967 0.000652206
45 0.797012 0.799611 0.000640383
46 0.80541 0.799737 0.000638749
47 0.791574 0.799564 0.000648342
48 0.799063 0.799553 0.000634919
49 0.794943 0.799459 0.000628893
50 0.800032 0.799471 0.00061642
