#BLOCK ACTUAL AVE ERROR
1 -6.32481 -6.32481 0
2 -6.32413 -6.32447 0.000240037
3 -6.32391 -6.32428 0.000220537
4 -6.32353 -6.3241 0.000232683
5 -6.3238 -6.32404 0.000193594
6 -6.32362 -6.32397 0.000173435
7 -6.32499 -6.32411 0.00020063
8 -6.32373 -6.32406 0.000181004
9 -6.32316 -6.32396 0.000186795
10 -6.32327 -6.32389 0.000180569
11 -6.32335 -6.32385 0.000170813
12 -6.32385 -6.32385 0.000156581
13 -6.32415 -6.32387 0.000146248
14 -6.32365 -6.32385 0.000136621
15 -6.32423 -6.32388 0.000129842
16 -6.32426 -6.3239 0.000123837
17 -6.32512 -6.32397 0.000135683
18 -6.32482 -6.32402 0.000135976
19 -6.32383 -6.32401 0.000129175
20 -6.32297 -6.32396 0.000132758
21 -6.32388 -6.32396 0.000126495
22 -6.32313 -6.32392 0.000126172
23 -6.32443 -6.32394 0.00012267
24 -6.32405 -6.32394 0.000117649
25 -6.32526 -6.324 0.00012413
26 -6.32392 -6.32399 0.000119393
27 -6.32401 -6.32399 0.000114973
28 -6.32473 -6.32402 0.000113797
29 -6.3242 -6.32403 0.000110033
30 -6.32375 -6.32402 0.00010674
31 -6.3246 -6.32404 0.000104937
32 -6.32299 -6.324 0.000106605
33 -6.32377 -6.324 0.000103617
34 -6.32383 -6.32399 0.00010068
35 -6.32425 -6.324 9.80642e-05
36 -6.32322 -6.32398 9.77172e-05
37 -6.32435 -6.32399 9.55961e-05
38 -6.32486 -6.32401 9.57698e-05
39 -6.32547 -6.32405 0.000100325
40 -6.32376 -6.32404 9.80763e-05
41 -6.32543 -6.32407 0.000101345
42 -6.32391 -6.32407 9.90071e-05
43 -6.32412 -6.32407 9.67116e-05
44 -6.32455 -6.32408 9.51179e-05
45 -6.32352 -6.32407 9.38082e-05
46 -6.32358 -6.32406 9.23735e-05
47 -6.32427 -6.32406 9.052e-05
48 -6.32391 -6.32406 8.86909e-05
49 -6.32523 -6.32408 9.00319e-05
50 -6.32439 -6.32409 8.84422e-05
