#N_BLOCK:  ACCEPTANCE:
1 0.500336
2 0.500368
3 0.500548
4 0.50047
5 0.500536
6 0.50071
7 0.500529
8 0.500463
9 0.500487
10 0.500477
11 0.50052
12 0.500521
13 0.50063
14 0.500632
15 0.50056
16 0.500512
17 0.500491
18 0.500511
19 0.500649
20 0.500676
21 0.500638
22 0.500643
23 0.500687
24 0.500795
25 0.500806
26 0.500872
27 0.500853
28 0.500834
29 0.500871
30 0.500847
31 0.500848
32 0.50086
33 0.500803
34 0.500792
35 0.500806
36 0.500763
37 0.500813
38 0.500796
39 0.500855
40 0.500862
41 0.50084
42 0.500788
43 0.500798
44 0.50076
45 0.500749
46 0.500764
47 0.500735
48 0.500726
49 0.50073
50 0.500729
