DISTANCE AVE ERROR
0.0230664 0 0
0.0461329 0 0
0.0691993 0 0
0.0922657 0 0
0.115332 0 0
0.138399 0 0
0.161465 0 0
0.184531 0 0
0.207598 0 0
0.230664 0 0
0.253731 0 0
0.276797 0 0
0.299864 0 0
0.32293 0 0
0.345996 0 0
0.369063 0 0
0.392129 0 0
0.415196 0 0
0.438262 0 0
0.461329 0 0
0.484395 0 0
0.507461 0 0
0.530528 0 0
0.553594 0 0
0.576661 0 0
0.599727 0 0
0.622794 0 0
0.64586 0 0
0.668926 0 0
0.691993 0 0
0.715059 0 0
0.738126 0 0
0.761192 0 0
0.784259 0 0
0.807325 0 0
0.830391 0 0
0.853458 0 0
0.876524 0 0
0.899591 7.06949e-05 1.38099e-05
0.922657 0.00327829 0.00012046
0.945724 0.0468387 0.000430171
0.96879 0.293397 0.00145501
0.991856 1.00941 0.00271799
1.01492 2.24193 0.00314293
1.03799 3.62909 0.00370098
1.06106 4.6165 0.00354207
1.08412 4.88859 0.0041366
1.10719 4.48819 0.00469701
1.13026 3.65979 0.00399175
1.15332 2.69493 0.00252712
1.17639 1.81735 0.00172683
1.19945 1.12873 0.00171535
1.22252 0.654073 0.00159753
1.24559 0.354474 0.00129778
1.26865 0.181089 0.00106158
1.29172 0.090602 0.000869327
1.31479 0.0499415 0.000649273
1.33785 0.0434746 0.000627238
1.36092 0.0621129 0.00066401
1.38399 0.106934 0.000782788
1.40705 0.186047 0.000891911
1.43012 0.301574 0.000836156
1.45319 0.453375 0.00081441
1.47625 0.627727 0.000938762
1.49932 0.795531 0.00127588
1.52238 0.91976 0.00168007
1.54545 0.967352 0.00163968
1.56852 0.924571 0.00187767
1.59158 0.806958 0.00117799
1.61465 0.640172 0.000801407
1.63772 0.466804 0.000656422
1.66078 0.319046 0.000852518
1.68385 0.221358 0.00101396
1.70692 0.193727 0.00123937
1.72998 0.257005 0.00160205
1.75305 0.435637 0.00171888
1.77612 0.752261 0.00189184
1.79918 1.19936 0.00161993
1.82225 1.72606 0.00101987
1.84531 2.23358 0.00197935
1.86838 2.59215 0.00294676
1.89145 2.7125 0.00355955
1.91451 2.55334 0.00296944
1.93758 2.17928 0.00242971
1.96065 1.68984 0.0015329
1.98371 1.20003 0.0012342
2.00678 0.803954 0.00164457
2.02985 0.544977 0.00179858
2.05291 0.436751 0.00167346
2.07598 0.462622 0.00150007
2.09905 0.588041 0.00115157
2.12211 0.758783 0.000802604
2.14518 0.917187 0.000887167
2.16824 1.01346 0.0011381
2.19131 1.02 0.001572
2.21438 0.918898 0.00113447
2.23744 0.780527 0.000648105
2.26051 0.656354 0.000974311
2.28358 0.573987 0.00155389
2.30664 0.576081 0.00208032
