#BLOCK ACTUAL AVE ERROR
1 1.2 1.2 0
2 1.2 1.2 0
3 1.2 1.2 0
4 1.2 1.2 0
5 1.2 1.2 0
6 1.2 1.2 8.60319e-09
7 1.2 1.2 7.96501e-09
8 1.2 1.2 7.45058e-09
9 1.2 1.2 7.02447e-09
10 1.2 1.2 6.664e-09
11 1.2 1.2 6.35388e-09
12 1.2 1.2 6.08337e-09
13 1.2 1.2 5.84472e-09
14 1.2 1.2 5.63211e-09
15 1.2 1.2 0
16 1.2 1.2 0
17 1.2 1.2 0
18 1.2 1.2 4.96705e-09
19 1.2 1.2 4.83458e-09
20 1.2 1.2 4.71216e-09
21 1.2 1.2 4.5986e-09
22 1.2 1.2 7.10385e-09
23 1.2 1.2 6.9477e-09
24 1.2 1.2 6.80142e-09
25 1.2 1.2 6.664e-09
26 1.2 1.2 6.53459e-09
27 1.2 1.2 6.41244e-09
28 1.2 1.2 7.45058e-09
29 1.2 1.2 7.321e-09
30 1.2 1.2 7.19794e-09
31 1.2 1.2 7.0809e-09
32 1.2 1.2 6.96938e-09
33 1.2 1.2 6.86297e-09
34 1.2 1.2 6.76129e-09
35 1.2 1.2 6.664e-09
36 1.2 1.2 6.57079e-09
37 1.2 1.2 6.48139e-09
38 1.2 1.2 6.39554e-09
39 1.2 1.2 7.5455e-09
40 1.2 1.2 7.45058e-09
41 1.2 1.2 7.35916e-09
42 1.2 1.2 7.27102e-09
43 1.2 1.2 7.18598e-09
44 1.2 1.2 7.10385e-09
45 1.2 1.2 7.02447e-09
46 1.2 1.2 6.9477e-09
47 1.2 1.2 6.87339e-09
48 1.2 1.2 6.80142e-09
49 1.2 1.2 6.73166e-09
50 1.2 1.2 6.664e-09
