#BLOCK ACTUAL AVE ERROR
1 -6.66795 -6.66795 0
2 -6.66578 -6.66687 0.000769587
3 -6.67189 -6.66854 0.00146006
4 -6.68911 -6.67368 0.00458517
5 -6.6859 -6.67613 0.00427011
6 -6.68324 -6.67731 0.00371927
7 -6.67094 -6.6764 0.00329753
8 -6.68804 -6.67786 0.00319029
9 -6.69454 -6.67971 0.00333104
10 -6.68447 -6.68019 0.0030318
11 -6.68442 -6.68057 0.00278054
12 -6.68948 -6.68131 0.00264611
13 -6.67725 -6.681 0.00246095
14 -6.68799 -6.6815 0.00233524
15 -6.67835 -6.68129 0.00218897
16 -6.69431 -6.6821 0.0021983
17 -6.67387 -6.68162 0.00212172
18 -6.68245 -6.68167 0.00200435
19 -6.68332 -6.68175 0.00190074
20 -6.67331 -6.68133 0.00185203
21 -6.688 -6.68165 0.00179089
22 -6.69164 -6.6821 0.00176609
23 -6.68302 -6.68214 0.00168976
24 -6.66363 -6.68137 0.0017867
25 -6.68894 -6.68167 0.00174071
26 -6.68798 -6.68192 0.00169059
27 -6.69056 -6.68224 0.00165805
28 -6.67444 -6.68196 0.00162206
29 -6.68663 -6.68212 0.00157412
30 -6.66792 -6.68165 0.00159124
31 -6.69427 -6.68205 0.00159118
32 -6.69677 -6.68251 0.00160658
33 -6.71346 -6.68345 0.00181098
34 -6.6783 -6.6833 0.00176403
35 -6.69355 -6.68359 0.00173778
36 -6.66871 -6.68318 0.001738
37 -6.69664 -6.68354 0.00172867
38 -6.67433 -6.6833 0.0017001
39 -6.70491 -6.68385 0.00174445
40 -6.67209 -6.68356 0.00172547
41 -6.70699 -6.68413 0.00177549
42 -6.69531 -6.6844 0.00175304
43 -6.6939 -6.68462 0.00172615
44 -6.67116 -6.68431 0.0017138
45 -6.67337 -6.68407 0.00169287
46 -6.67358 -6.68384 0.00167134
47 -6.68612 -6.68389 0.00163648
48 -6.69148 -6.68405 0.00161002
49 -6.67957 -6.68396 0.00157976
50 -6.68059 -6.68389 0.00154959
