#BLOCK ACTUAL AVE ERROR
1 0.958807 0.958807 0
2 0.958941 0.958874 4.73567e-05
3 0.95864 0.958796 7.08927e-05
4 0.957726 0.958528 0.000237625
5 0.957893 0.958401 0.000221532
6 0.95805 0.958343 0.0001922
7 0.958607 0.95838 0.000168408
8 0.957768 0.958304 0.000163863
9 0.957445 0.958208 0.00017123
10 0.957954 0.958183 0.000155983
11 0.957966 0.958163 0.000143047
12 0.957691 0.958124 0.000136429
13 0.958305 0.958138 0.000126641
14 0.957712 0.958107 0.000121183
15 0.958264 0.958118 0.000113551
16 0.957529 0.958081 0.000112257
17 0.958509 0.958106 0.000108437
18 0.958031 0.958102 0.000102494
19 0.958047 0.958099 9.7141e-05
20 0.958519 0.95812 9.45265e-05
21 0.957783 0.958104 9.13814e-05
22 0.957653 0.958083 8.94968e-05
23 0.958049 0.958082 8.56183e-05
24 0.959012 0.958121 9.03896e-05
25 0.957679 0.958103 8.84803e-05
26 0.957778 0.958091 8.59541e-05
27 0.957673 0.958075 8.41531e-05
28 0.958472 0.958089 8.23322e-05
29 0.957832 0.95808 7.99679e-05
30 0.958819 0.958105 8.10065e-05
31 0.957528 0.958086 8.05047e-05
32 0.957393 0.958065 8.08546e-05
33 0.956519 0.958018 9.09728e-05
34 0.958257 0.958025 8.85679e-05
35 0.957562 0.958012 8.70189e-05
36 0.958787 0.958033 8.72242e-05
37 0.957362 0.958015 8.6735e-05
38 0.958485 0.958027 8.53308e-05
39 0.95692 0.957999 8.77441e-05
40 0.958582 0.958014 8.67504e-05
41 0.956826 0.957985 8.93425e-05
42 0.957431 0.957971 8.81833e-05
43 0.957443 0.957959 8.69847e-05
44 0.958623 0.957974 8.63053e-05
45 0.958517 0.957986 8.52258e-05
46 0.958502 0.957998 8.41073e-05
47 0.957846 0.957994 8.23797e-05
48 0.957642 0.957987 8.09901e-05
49 0.958233 0.957992 7.94927e-05
50 0.958141 0.957995 7.79584e-05
