#BLOCK ACTUAL AVE ERROR
1 -178.811 -178.811 0
2 -178.753 -178.782 0.0207789
3 -178.918 -178.827 0.0394216
4 -179.383 -178.966 0.123799
5 -179.296 -179.032 0.115293
6 -179.224 -179.064 0.10042
7 -178.892 -179.04 0.0890333
8 -179.354 -179.079 0.0861377
9 -179.529 -179.129 0.0899381
10 -179.257 -179.142 0.0818587
11 -179.256 -179.152 0.0750746
12 -179.393 -179.172 0.0714449
13 -179.062 -179.164 0.0664458
14 -179.352 -179.177 0.0630514
15 -179.092 -179.172 0.0591023
16 -179.523 -179.194 0.059354
17 -178.971 -179.18 0.0572864
18 -179.203 -179.182 0.0541173
19 -179.226 -179.184 0.0513199
20 -178.956 -179.173 0.0500049
21 -179.353 -179.181 0.048354
22 -179.451 -179.193 0.0476844
23 -179.218 -179.195 0.0456234
24 -178.695 -179.174 0.048241
25 -179.378 -179.182 0.0469992
26 -179.352 -179.188 0.045646
27 -179.422 -179.197 0.0447673
28 -178.987 -179.19 0.0437956
29 -179.316 -179.194 0.0425013
30 -178.81 -179.181 0.0429634
31 -179.522 -179.192 0.0429618
32 -179.59 -179.205 0.0433777
33 -180.04 -179.23 0.0488965
34 -179.091 -179.226 0.0476289
35 -179.503 -179.234 0.0469199
36 -178.832 -179.223 0.0469259
37 -179.586 -179.232 0.0466741
38 -178.984 -179.226 0.0459026
39 -179.809 -179.241 0.0471002
40 -178.923 -179.233 0.0465877
41 -179.865 -179.248 0.0479383
42 -179.55 -179.255 0.0473321
43 -179.512 -179.261 0.046606
44 -178.898 -179.253 0.0462726
45 -178.958 -179.247 0.0457074
46 -178.963 -179.24 0.0451263
47 -179.302 -179.242 0.044185
48 -179.447 -179.246 0.0434705
49 -179.125 -179.244 0.0426534
50 -179.153 -179.242 0.0418389
