1
1
#blocks mean unc
1 0.714882 0
2 0.696632 0.0129046
3 0.712009 0.0152197
4 0.702078 0.0142919
5 0.710246 0.013568
6 0.712313 0.011463
7 0.715518 0.0102637
8 0.714884 0.00900026
9 0.71785 0.00847464
10 0.713502 0.00867103
11 0.712034 0.00800601
12 0.719339 0.0101375
13 0.719172 0.00935905
14 0.721399 0.00895164
15 0.719451 0.00856423
16 0.721496 0.00826935
17 0.721311 0.00778497
18 0.718565 0.00782181
19 0.718105 0.00742365
20 0.718731 0.00707877
21 0.717913 0.00678873
22 0.720091 0.00682056
23 0.723333 0.00725349
24 0.723744 0.00696294
25 0.722538 0.00678811
26 0.722368 0.00652915
27 0.721245 0.00638328
28 0.723428 0.00651786
29 0.722141 0.00641892
30 0.720062 0.00653289
31 0.719126 0.00638888
32 0.717596 0.00636971
33 0.718318 0.00621748
34 0.717513 0.00608652
35 0.716684 0.00596881
36 0.716207 0.00582207
37 0.714246 0.00598582
38 0.716239 0.0061512
39 0.714733 0.00617506
40 0.714304 0.00603558
41 0.713202 0.00598806
42 0.71286 0.00585529
43 0.713351 0.00573972
44 0.712837 0.00563224
45 0.715173 0.00597185
46 0.715593 0.00585676
47 0.715531 0.00573247
48 0.714506 0.00570394
49 0.713992 0.00561065
50 0.714287 0.00550619
51 0.713498 0.00545445
52 0.713486 0.00534957
53 0.713232 0.00525464
54 0.713113 0.00515867
55 0.712631 0.00508735
56 0.712491 0.00499843
57 0.71191 0.00494437
58 0.711006 0.00494121
59 0.710819 0.00486097
60 0.709684 0.0049108
61 0.710763 0.00494745
62 0.71033 0.00488652
63 0.710559 0.00481432
64 0.7104 0.00474171
65 0.710572 0.00467187
66 0.711099 0.00463072
67 0.712283 0.00471065
68 0.711889 0.00465784
69 0.711553 0.00460242
70 0.710921 0.00457993
71 0.71249 0.0047768
72 0.712063 0.00472948
73 0.712961 0.00474914
74 0.712256 0.00473706
75 0.711741 0.00470181
76 0.711511 0.00464557
77 0.710863 0.00463017
78 0.710867 0.00457081
79 0.709999 0.00459472
80 0.710165 0.00454029
81 0.710019 0.00448658
82 0.70991 0.00443319
83 0.709317 0.00441935
84 0.709686 0.00438216
85 0.709212 0.00435617
86 0.709803 0.00434541
87 0.709886 0.00429625
88 0.709744 0.00424979
89 0.70956 0.00420602
90 0.710202 0.00420811
91 0.710119 0.00416269
92 0.710132 0.00411747
93 0.70991 0.0040792
94 0.709641 0.00404462
95 0.709814 0.00400574
96 0.709964 0.00396683
97 0.710082 0.00392768
98 0.71013 0.0038879
99 0.709909 0.00385493
100 0.709819 0.00381742
