1
0.5
#blocks mean unc
1 -0.147103 0
2 -0.145977 0.000796081
3 -0.147901 0.00165809
4 -0.148515 0.00135244
5 -0.148909 0.00113808
6 -0.149229 0.000992302
7 -0.148202 0.00127591
8 -0.148555 0.00116419
9 -0.148906 0.00108655
10 -0.149329 0.00105695
11 -0.149284 0.000961786
12 -0.148908 0.000952555
13 -0.149117 0.000901989
14 -0.148426 0.00106997
15 -0.14846 0.000999169
16 -0.147795 0.00113665
17 -0.147754 0.00107052
18 -0.14733 0.00109193
19 -0.147198 0.00104238
20 -0.14758 0.0010579
21 -0.147413 0.00102052
22 -0.146818 0.00113451
23 -0.146739 0.00108792
24 -0.146385 0.00109879
25 -0.14632 0.00105677
26 -0.146636 0.00106244
27 -0.146436 0.00104171
28 -0.146362 0.00100714
29 -0.146627 0.00100672
30 -0.146502 0.000980954
31 -0.146383 0.000956486
32 -0.146346 0.000927322
33 -0.14656 0.000923551
34 -0.14653 0.000896879
35 -0.146729 0.000893182
36 -0.146648 0.000872024
37 -0.146464 0.00086766
38 -0.146434 0.000845363
39 -0.14642 0.000823797
40 -0.146314 0.000809978
41 -0.146288 0.000790635
42 -0.146083 0.000797923
43 -0.146038 0.000780676
44 -0.146093 0.000764913
45 -0.14604 0.000749749
46 -0.146025 0.000733599
47 -0.145961 0.000720846
48 -0.145864 0.000712235
49 -0.145701 0.000716051
50 -0.145536 0.00072056
51 -0.145435 0.000713504
52 -0.145484 0.000701471
53 -0.145421 0.000691098
54 -0.145482 0.000681005
55 -0.145457 0.000669065
56 -0.145345 0.000666482
57 -0.145295 0.000656642
58 -0.145373 0.000649909
59 -0.145414 0.000640209
60 -0.145453 0.000630698
61 -0.145482 0.000621031
62 -0.14559 0.000620385
63 -0.145557 0.000611439
64 -0.145528 0.00060257
65 -0.14556 0.000594149
66 -0.145714 0.00060482
67 -0.145713 0.000595794
68 -0.145648 0.000590565
69 -0.145659 0.000582104
70 -0.145576 0.00057974
71 -0.145591 0.000571791
72 -0.145659 0.000567892
73 -0.14564 0.00056044
74 -0.14562 0.000553235
75 -0.145512 0.000556289
76 -0.145496 0.000549207
77 -0.145504 0.000542138
78 -0.145438 0.000539183
79 -0.145435 0.000532369
80 -0.145499 0.000529587
81 -0.14554 0.000524634
82 -0.145584 0.000520113
83 -0.145584 0.000513847
84 -0.145563 0.000508169
85 -0.145562 0.000502191
86 -0.145631 0.000501109
87 -0.145665 0.000496495
88 -0.145643 0.000491356
89 -0.145635 0.000485893
90 -0.145565 0.000485503
91 -0.145597 0.000481202
92 -0.145655 0.000479484
93 -0.145747 0.000483063
94 -0.145791 0.000479869
95 -0.145786 0.000474841
96 -0.145765 0.00047034
97 -0.145756 0.000465589
98 -0.14576 0.000460861
99 -0.145783 0.000456741
100 -0.145808 0.000452893
