beta mean unc mu sigma
0.5 -0.288456 0.00337697 0.582406 0.598005
0.505051 -0.155342 0.0123076 0.430796 1.0687
0.510152 -0.241814 0.00520586 0.19024 0.937732
0.515305 -0.0773471 0.00577519 0.196069 0.755702
0.52051 -0.162631 0.0130293 0.820317 0.855841
0.525768 -0.141267 0.0134189 0.0934931 1.15265
0.531079 0.698067 0.0536809 0.715643 1.21102
0.536443 5.74393 0.088944 1.54511 0.988203
0.541862 1.58935 0.0719889 0.700169 1.38609
0.547335 0.304183 0.0259513 0.934944 0.950909
0.552864 -0.314302 0.00496437 0.589867 0.76701
0.558448 0.734554 0.00934218 0.124739 0.484225
0.564089 0.734554 0.00934218 0.124739 0.484225
0.569787 0.210537 0.0224872 0.973985 0.887629
0.575542 -0.154376 0.0134 0.806977 0.882213
0.581356 -0.154376 0.0134 0.806977 0.882213
0.587228 -0.154376 0.0134 0.806977 0.882213
0.59316 3.14244 0.028149 1.63298 0.491366
0.599151 -0.0161201 0.0171398 0.869942 0.8947
0.605203 0.00268431 0.0180537 0.974417 0.820046
0.611316 1.67057 0.0276943 1.45007 0.589085
0.617491 1.67057 0.0276943 1.45007 0.589085
0.623729 3.09457 0.0289822 1.61722 0.535798
0.630029 3.09457 0.0289822 1.61722 0.535798
0.636393 3.09457 0.0289822 1.61722 0.535798
0.642821 3.09457 0.0289822 1.61722 0.535798
0.649314 0.654025 0.0100929 1.30767 0.510715
0.655873 -0.291285 0.00350375 0.555792 0.706189
0.662498 0.780517 0.0270473 1.19983 0.78662
0.66919 -0.326354 0.00638452 0.850141 0.74642
0.675949 -0.246083 0.0101119 0.352868 0.959447
0.682777 -0.184277 0.0129374 0.22766 1.09745
0.689674 -0.307264 0.0075312 0.685933 0.814473
0.69664 -0.252577 0.00744734 0.34806 0.943843
0.703677 0.0298211 0.0192857 0.239827 1.23274
0.710785 0.0298211 0.0192857 0.239827 1.23274
0.717965 0.0298211 0.0192857 0.239827 1.23274
0.725217 0.0298211 0.0192857 0.239827 1.23274
0.732542 -0.170594 0.0123057 0.634595 0.953493
0.739942 -0.183059 0.0138328 0.488336 1.00784
0.747416 -0.274861 0.00532749 0.490927 0.87644
0.754965 -0.250198 0.00843444 0.115503 1.02621
0.762591 -0.126992 0.00501953 0.197686 0.79567
0.770294 -0.106999 0.0161526 0.415338 1.09835
0.778075 -0.252936 0.00621337 0.362377 0.935922
0.785934 -0.119538 0.00479264 0.0991683 0.807084
0.793873 -0.119538 0.00479264 0.0991683 0.807084
0.801892 -0.0757388 0.00553931 0.303093 0.719239
0.809992 -0.252356 0.00423292 0.521839 0.691951
0.818174 -0.252356 0.00423292 0.521839 0.691951
0.826438 -0.225846 0.00994553 0.443446 0.973913
0.834786 0.126838 0.0203821 0.914938 0.915903
0.843218 -0.41667 0.00235946 0.710906 0.640339
0.851735 -0.217594 0.00744278 0.782431 0.478331
0.860339 -0.217594 0.00744278 0.782431 0.478331
0.869029 0.357694 0.00880634 0.261407 0.519324
0.877807 -0.0758211 0.00534927 0.152955 0.775563
0.886674 -0.214523 0.00599126 0.0526764 0.916329
0.89563 -0.247376 0.00907811 0.198755 1.01723
0.904677 -0.247376 0.00907811 0.198755 1.01723
0.913815 0.325902 0.0350642 0.583299 1.20363
0.923046 0.325902 0.0350642 0.583299 1.20363
0.932369 0.789847 0.0459128 0.215548 1.45148
0.941787 0.406685 0.038284 0.219755 1.34676
0.9513 0.10393 0.02716 0.0314501 1.27472
0.960909 0.127294 0.0312302 0.128612 1.25285
0.970615 0.127294 0.0312302 0.128612 1.25285
0.98042 0.108286 0.0258218 0.0660464 1.29388
0.990323 -0.214297 0.0116334 0.243492 1.06555
1.00033 -0.129968 0.0172379 0.211257 1.14198
1.01043 -0.242688 0.00731802 0.192512 1.00609
1.02064 0.233636 0.0346324 0.499091 1.21234
1.03095 0.0752058 0.0218476 0.536493 1.14481
1.04136 -0.0878321 0.0151131 0.108019 1.19739
1.05188 -0.233069 0.0078882 0.31554 1.02469
1.0625 -0.164277 0.0145371 0.686186 0.937189
1.07324 -0.164277 0.0145371 0.686186 0.937189
1.08408 -0.278178 0.00495913 0.525851 0.755634
1.09503 -0.247902 0.0077089 0.228169 0.967326
1.10609 -0.261178 0.00712313 0.27235 0.990521
1.11726 -0.209729 0.00583121 0.0309677 0.89012
1.12855 -0.226581 0.0120877 0.335151 1.02672
1.13995 -0.149994 0.013342 0.0185511 1.15766
1.15146 -0.10126 0.0157713 0.114096 1.17972
1.16309 0.0312176 0.0230949 0.0226593 1.2501
1.17484 0.747964 0.0402903 0.28045 1.43103
1.18671 2.14063 0.0768411 0.481421 1.54864
1.19869 2.14063 0.0768411 0.481421 1.54864
1.2108 0.891237 0.0506061 0.514175 1.36859
1.22303 0.133012 0.031007 0.422175 1.21815
1.23539 0.186247 0.0294142 0.176029 1.29689
1.24786 0.351091 0.0343421 0.0569281 1.3507
1.26047 0.351091 0.0343421 0.0569281 1.3507
1.2732 0.110128 0.0264546 0.194949 1.25412
1.28606 0.110128 0.0264546 0.194949 1.25412
1.29905 0.110128 0.0264546 0.194949 1.25412
1.31217 -0.187794 0.0137054 0.265148 1.0899
1.32543 -0.00536692 0.0218857 0.519005 1.12469
1.33882 -0.00536692 0.0218857 0.519005 1.12469
1.35234 -0.00536692 0.0218857 0.519005 1.12469
1.366 -0.0421662 0.0232102 0.239037 1.20594
1.3798 -0.16943 0.0135936 0.0116981 1.14966
1.39373 -0.0556979 0.0169242 0.196065 1.194
1.40781 0.00413684 0.021528 0.0534622 1.23418
1.42203 0.473175 0.0353839 0.323607 1.34142
1.4364 0.756418 0.040309 0.649368 1.27387
1.45091 0.689643 0.0461254 0.709332 1.22975
1.46556 0.617567 0.0438766 0.565689 1.29101
1.48037 0.511631 0.0455711 0.356265 1.34381
1.49532 0.206693 0.0279841 0.0475315 1.32704
1.51042 0.893909 0.0475289 0.358899 1.42424
1.52568 0.464263 0.0345042 0.231767 1.36091
1.54109 0.464263 0.0345042 0.231767 1.36091
1.55666 0.464263 0.0345042 0.231767 1.36091
1.57238 0.336375 0.0289445 0.0743268 1.3581
1.58826 0.21297 0.0343196 0.370232 1.25277
1.60431 0.903225 0.047718 0.453695 1.38143
1.62051 0.117617 0.0253178 0.385252 1.23533
1.63688 -0.058179 0.0212539 0.0852999 1.19422
1.65341 -0.11323 0.0181255 0.298866 1.13253
1.67012 -0.11323 0.0181255 0.298866 1.13253
1.68699 -0.090343 0.0177078 0.423237 1.11806
1.70403 0.0916146 0.026133 0.587433 1.11802
1.72124 0.12477 0.0233202 0.79221 0.997971
1.73862 0.242836 0.0293462 0.875208 0.978062
1.75619 0.154513 0.0211327 0.978475 0.874513
1.77393 -0.137821 0.0135437 0.987537 0.733704
1.79184 0.313696 0.0152956 1.13287 0.744439
1.80994 0.276368 0.0223999 1.00442 0.88141
1.82823 -0.261474 0.0104358 0.876887 0.785066
1.84669 0.120479 0.0138288 1.08298 0.739064
1.86535 0.123721 0.0113937 1.16506 0.610795
1.88419 0.123721 0.0113937 1.16506 0.610795
